regime,z,sigma_tiny_cm2_g,r200c_kpc,convergence_r_min_kpc,convergence_r_max_kpc,rho_ratio_median,rho_ratio_max_abs_dev,ds_ratio_median,ds_ratio_max_abs_dev
dwarf,0.2,0.0001,41.60940077158601,2.0804700385793007,41.60940077158601,1.0173702902739625,0.11179127061305527,1.0326909546371459,0.06699682085200775
cluster,0.3,0.0001,864.3791596159081,43.21895798079541,864.3791596159081,0.9965868012617042,0.11385896972233323,0.9443998423484139,0.2192132951202408
