label,n_halos,seed,ensemble_mode,tier,sigma_over_m_cm2_g,delta_chi2_optimistic_5pct,sigma_separation_optimistic_5pct,delta_chi2_conservative_10pct,sigma_separation_conservative_10pct,required_uniform_fraction_for_3sigma,required_uniform_percent_for_3sigma,max_abs_delta_sigma_ratio_shift_percent,ensemble_mean_mass_msun,ensemble_median_mass_msun,ensemble_std_log10_mass_dex
cluster1_z0p1,400,101,HMF,tier1,0.05,3.5864202703699753e-08,0.00018937846420250575,8.966050675924938e-09,9.468923210125288e-05,3.1563077367084294e-06,0.00031563077367084295,0.0002700554625256757,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier2,0.05,3.3080537456035946e-08,0.00018188055821344938,8.270134364008987e-09,9.094027910672469e-05,3.0313426368908226e-06,0.0003031342636890823,0.0002691348912842173,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier3,0.05,0.0003831235405057381,0.019573541848774793,9.578088512643453e-05,0.009786770924387397,0.00032622569747957987,0.032622569747957984,0.050655016028278155,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier1,0.1,1.4344670474206197e-07,0.0003787435870639422,3.586167618551549e-08,0.0001893717935319711,6.31239311773237e-06,0.000631239311773237,0.0005400802381982928,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier2,0.1,1.3231262066677182e-07,0.00036374801809325617,3.3078155166692954e-08,0.00018187400904662808,6.0624669682209354e-06,0.0006062466968220936,0.0005382392171959793,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier3,0.1,0.0013917672505320772,0.03730639691168362,0.0003479418126330193,0.01865319845584181,0.0006217732818613937,0.062177328186139365,0.09631641041217831,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier1,0.2,5.737059971627984e-07,0.0007574338236194621,1.434264992906996e-07,0.00037871691180973104,1.2623897060324368e-05,0.0012623897060324368,0.0010800377780784132,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier2,0.2,5.291742750629481e-07,0.0007274436576553185,1.3229356876573703e-07,0.00036372182882765924,1.2124060960921975e-05,0.0012124060960921976,0.0010763562214854971,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier3,0.2,0.004649042014042523,0.06818388382926366,0.0011622605035106308,0.03409194191463183,0.0011363980638210613,0.11363980638210613,0.17527713578605608,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier1,0.3,1.2906567149899046e-06,0.001136070735029252,3.2266417874747616e-07,0.000568035367514626,1.893451225048753e-05,0.001893451225048753,0.0016198726991545342,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier2,0.3,1.1904707195028427e-06,0.0010910869440621323,2.9761767987571066e-07,0.0005455434720310661,1.8184782401035538e-05,0.001818478240103554,0.0016143510920940685,57955749232346.36,53500512044490.93,0.14335004508632343
cluster1_z0p1,400,101,HMF,tier3,0.3,0.008862388424590816,0.09414025931869327,0.002215597106147704,0.047070129659346635,0.0015690043219782214,0.15690043219782213,0.24108538392145773,57955749232346.36,53500512044490.93,0.14335004508632343
