label,n_halos,seed,ensemble_mode,sigma_over_m_cm2_g,delta_chi2_optimistic_5pct,sigma_separation_optimistic_5pct,delta_chi2_conservative_10pct,sigma_separation_conservative_10pct,required_uniform_fraction_for_3sigma,required_uniform_percent_for_3sigma,max_abs_delta_sigma_ratio_shift_percent,ensemble_mean_mass_msun,ensemble_median_mass_msun,ensemble_std_log10_mass_dex
cluster,400,42,HMF,0.2,760.1723452702744,27.571223137000548,190.0430863175686,13.785611568500274,0.4595203856166758,45.95203856166758,52.39352086727145,332558640757921.8,248875926599809.75,0.2716980923363867
cluster,400,42,HMF,0.5,1774.6920095496178,42.12709353313634,443.6730023874045,21.06354676656817,0.7021182255522724,70.21182255522724,73.37521892813152,332558640757921.8,248875926599809.75,0.2716980923363867
cluster,400,42,HMF,1.0,2649.3004920293943,51.47135603449159,662.3251230073486,25.735678017245796,0.8578559339081934,85.78559339081934,83.79577198841058,332558640757921.8,248875926599809.75,0.2716980923363867
cluster,400,42,HMF,2.0,3377.700410944029,58.11798698289566,844.4251027360073,29.05899349144783,0.9686331163815942,96.86331163815942,89.61175378531915,332558640757921.8,248875926599809.75,0.2716980923363867
dwarf,800,123,SHMR,0.5,2210.0268744583714,47.010922927106755,552.5067186145928,23.505461463553377,0.783515382118446,78.3515382118446,73.16220074505244,38085709491.28355,10258451960.86968,0.6791340639315947
dwarf,800,123,SHMR,1.0,3137.54445826795,56.013788108535834,784.3861145669877,28.006894054267917,0.933563135142264,93.3563135142264,83.13433715941245,38085709491.28355,10258451960.86968,0.6791340639315947
dwarf,800,123,SHMR,3.0,4165.72135788468,64.54239969109206,1041.43033947117,32.27119984554603,1.0757066615182012,107.57066615182012,90.55413184358729,38085709491.28355,10258451960.86968,0.6791340639315947
dwarf,800,123,SHMR,10.0,4669.76490012766,68.33567809078696,1167.441225031915,34.16783904539348,1.1389279681797826,113.89279681797828,93.1324457884558,38085709491.28355,10258451960.86968,0.6791340639315947
