label,n_halos,seed,ensemble_mode,tier,sigma_over_m_cm2_g,delta_chi2_optimistic_5pct,sigma_separation_optimistic_5pct,delta_chi2_conservative_10pct,sigma_separation_conservative_10pct,required_uniform_fraction_for_3sigma,required_uniform_percent_for_3sigma,max_abs_delta_sigma_ratio_shift_percent,ensemble_mean_mass_msun,ensemble_median_mass_msun,ensemble_std_log10_mass_dex
dwarf1_z0p05,800,301,SHMR,tier1,10.0,37.600625671651294,6.131934904387953,9.400156417912823,3.0659674521939766,0.10219891507313256,10.219891507313255,8.48798136749236,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier2,10.0,31.723635669895376,5.632373892942067,7.930908917473844,2.8161869464710336,0.09387289821570113,9.387289821570114,8.12844843435987,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier3,10.0,31.504164571569866,5.612857077422324,7.876041142892467,2.806428538711162,0.09354761795703873,9.354761795703872,8.128521592650205,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier1,20.0,67.8079060808115,8.234555609188119,16.951976520202876,4.1172778045940595,0.13724259348646864,13.724259348646864,18.80220427441326,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier2,20.0,59.829133408080345,7.734929437821676,14.957283352020086,3.867464718910838,0.12891549063036128,12.891549063036129,18.498979785727776,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier3,20.0,59.54902931531265,7.716801754309401,14.887257328828163,3.8584008771547005,0.12861336257182335,12.861336257182336,18.49897443153067,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier1,50.0,169.0313392431087,13.001205299629289,42.257834810777176,6.5006026498146445,0.21668675499382148,21.668675499382147,31.867258084925133,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier2,50.0,158.40627018832524,12.585955275159897,39.60156754708131,6.292977637579948,0.20976592125266497,20.976592125266496,31.41977023174278,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier3,50.0,158.08972807623823,12.573373774617465,39.52243201905956,6.286686887308733,0.20955622957695774,20.955622957695773,31.41976477804954,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier1,100.0,220.0724773809431,14.834839985013087,55.018119345235775,7.417419992506543,0.2472473330835514,24.72473330835514,34.69437193729109,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier2,100.0,210.03269928493972,14.49250493479094,52.50817482123493,7.24625246739547,0.24154174891318234,24.154174891318235,34.27561907144453,16725063827.728716,9252000316.110952,0.4366401700391737
dwarf1_z0p05,800,301,SHMR,tier3,100.0,209.73747267117645,14.482315860081787,52.43436816779411,7.2411579300408935,0.24137193100136312,24.13719310013631,34.27561336667922,16725063827.728716,9252000316.110952,0.4366401700391737
