benchmark,m200_msun,sigma_over_m_cm2_g,window,window_r_min_kpc,window_r_max_kpc,n_bins,target_sigma,required_uniform_fraction,required_uniform_percent,max_abs_ratio_shift_percent
dwarf,10000000000.0,0.5,outer,30.0,300.0,20,3.0,0.05683527642164904,5.683527642164904,4.814447147910439
dwarf,10000000000.0,0.5,outer,30.0,300.0,20,5.0,0.034101165852989425,3.4101165852989426,4.814447147910439
dwarf,10000000000.0,1.0,full,3.0,300.0,40,2.0,0.19111316509843512,19.111316509843512,8.991209556190704
dwarf,10000000000.0,1.0,full,3.0,300.0,40,3.0,0.1274087767322901,12.74087767322901,8.991209556190704
dwarf,10000000000.0,1.0,full,3.0,300.0,40,5.0,0.07644526603937404,7.644526603937404,8.991209556190704
dwarf,10000000000.0,1.0,inner,3.0,30.0,20,2.0,0.1707697800616236,17.07697800616236,8.991209556190704
dwarf,10000000000.0,1.0,inner,3.0,30.0,20,3.0,0.1138465200410824,11.38465200410824,8.991209556190704
dwarf,10000000000.0,1.0,inner,3.0,30.0,20,5.0,0.06830791202464943,6.830791202464943,8.991209556190704
dwarf,10000000000.0,1.0,outer,30.0,300.0,20,2.0,0.0858016555297532,8.58016555297532,5.15593442994966
dwarf,10000000000.0,1.0,outer,30.0,300.0,20,3.0,0.057201103686502136,5.7201103686502135,5.15593442994966
dwarf,10000000000.0,1.0,outer,30.0,300.0,20,5.0,0.03432066221190128,3.4320662211901283,5.15593442994966
dwarf,10000000000.0,2.0,full,3.0,300.0,40,2.0,0.1792022608612078,17.92022608612078,8.738629693427491
dwarf,10000000000.0,2.0,full,3.0,300.0,40,3.0,0.11946817390747187,11.946817390747187,8.738629693427491
dwarf,10000000000.0,2.0,full,3.0,300.0,40,5.0,0.07168090434448313,7.168090434448312,8.738629693427491
dwarf,10000000000.0,2.0,inner,3.0,30.0,20,2.0,0.16503495576625898,16.503495576625898,8.738629693427491
dwarf,10000000000.0,2.0,inner,3.0,30.0,20,3.0,0.11002330384417265,11.002330384417265,8.738629693427491
dwarf,10000000000.0,2.0,inner,3.0,30.0,20,5.0,0.06601398230650359,6.601398230650359,8.738629693427491
dwarf,10000000000.0,2.0,outer,30.0,300.0,20,2.0,0.06983490297120287,6.983490297120287,4.706792444926244
dwarf,10000000000.0,2.0,outer,30.0,300.0,20,3.0,0.046556601980801915,4.6556601980801915,4.706792444926244
dwarf,10000000000.0,2.0,outer,30.0,300.0,20,5.0,0.027933961188481148,2.793396118848115,4.706792444926244
cluster,100000000000000.0,0.2,full,30.0,3000.0,40,2.0,0.20246254309162243,20.246254309162243,23.04367792193952
cluster,100000000000000.0,0.2,full,30.0,3000.0,40,3.0,0.13497502872774828,13.497502872774827,23.04367792193952
cluster,100000000000000.0,0.2,full,30.0,3000.0,40,5.0,0.08098501723664897,8.098501723664898,23.04367792193952
cluster,100000000000000.0,0.2,inner,30.0,300.0,20,2.0,0.18389511891977436,18.389511891977435,23.04367792193952
cluster,100000000000000.0,0.2,inner,30.0,300.0,20,3.0,0.12259674594651625,12.259674594651624,23.04367792193952
