label,n_halos,seed,ensemble_mode,tier,sigma_over_m_cm2_g,delta_chi2_optimistic_5pct,sigma_separation_optimistic_5pct,delta_chi2_conservative_10pct,sigma_separation_conservative_10pct,required_uniform_fraction_for_3sigma,required_uniform_percent_for_3sigma,max_abs_delta_sigma_ratio_shift_percent,ensemble_mean_mass_msun,ensemble_median_mass_msun,ensemble_std_log10_mass_dex
cluster,400,42,HMF,tier1,0.2,760.1723475153376,27.571223177714433,190.0430868788344,13.785611588857217,0.4595203862952406,45.95203862952406,52.39352109190882,332558640757921.8,248875926599809.75,0.2716980923363867
cluster,400,42,HMF,tier2,0.2,735.0008467776165,27.110899040378882,183.75021169440413,13.555449520189441,0.45184831733964803,45.184831733964806,52.168998220503894,332558640757921.8,248875926599809.75,0.2716980923363867
cluster,400,42,HMF,tier1,0.5,1774.6920136691415,42.127093582030334,443.6730034172854,21.063546791015167,0.7021182263671722,70.21182263671723,73.37521924250964,332558640757921.8,248875926599809.75,0.2716980923363867
cluster,400,42,HMF,tier2,0.5,1711.5467077294288,41.37084369129337,427.8866769323572,20.685421845646687,0.6895140615215563,68.95140615215563,73.18778397381766,332558640757921.8,248875926599809.75,0.2716980923363867
cluster,400,42,HMF,tier1,1.0,2649.3004967917204,51.4713560807535,662.3251241979301,25.73567804037675,0.8578559346792253,85.78559346792252,83.7957723473266,332558640757921.8,248875926599809.75,0.2716980923363867
cluster,400,42,HMF,tier2,1.0,2548.7381384910263,50.48502885500836,637.1845346227566,25.24251442750418,0.8414171475834725,84.14171475834725,83.68209207189427,332558640757921.8,248875926599809.75,0.2716980923363867
cluster,400,42,HMF,tier1,2.0,3377.700415498758,58.11798702208085,844.4251038746895,29.058993511040423,0.9686331170346808,96.86331170346809,89.61175416936521,332558640757921.8,248875926599809.75,0.2716980923363867
cluster,400,42,HMF,tier2,2.0,3241.956998591563,56.93818576835376,810.4892496478908,28.46909288417688,0.9489697628058963,94.89697628058963,89.56623120002804,332558640757921.8,248875926599809.75,0.2716980923363867
