n_halos,seed,sigma_over_m_cm2_g,delta_chi2_optimistic_5pct,sigma_separation_optimistic_5pct,delta_chi2_conservative_10pct,sigma_separation_conservative_10pct,required_uniform_fraction_for_3sigma,required_uniform_percent_for_3sigma,max_abs_delta_sigma_ratio_shift_percent,ensemble_mean_mass_msun,ensemble_std_log10_mass_dex
100,7,0.2,346.242251605394,18.607585861830493,86.5605629013485,9.303792930915247,0.31012643103050824,31.012643103050824,38.13757349311402,299955632004917.6,0.17505561985006374
100,7,0.5,1119.0036973364415,33.451512631515506,279.7509243341104,16.725756315757753,0.5575252105252586,55.752521052525864,63.57911935317227,299955632004917.6,0.17505561985006374
100,7,1.0,1891.2208702706475,43.48816931385647,472.8052175676619,21.744084656928234,0.7248028218976078,72.48028218976079,76.6398296953814,299955632004917.6,0.17505561985006374
100,7,2.0,2662.810010355905,51.60242252410157,665.7025025889762,25.801211262050785,0.8600403754016929,86.00403754016929,84.27923736740934,299955632004917.6,0.17505561985006374
