label,n_halos,seed,ensemble_mode,tier,sigma_over_m_cm2_g,delta_chi2_optimistic_5pct,sigma_separation_optimistic_5pct,delta_chi2_conservative_10pct,sigma_separation_conservative_10pct,required_uniform_fraction_for_3sigma,required_uniform_percent_for_3sigma,max_abs_delta_sigma_ratio_shift_percent,ensemble_mean_mass_msun,ensemble_median_mass_msun,ensemble_std_log10_mass_dex
dwarf2_z0p2,800,402,SHMR,tier1,10.0,9.777737000145923,3.126937319510246,2.4444342500364806,1.563468659755123,0.05211562199183744,5.211562199183744,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier2,10.0,9.000135162572775,3.0000225270108847,2.2500337906431938,1.5000112635054423,0.05000037545018141,5.000037545018142,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier3,10.0,8.969536446808203,2.994918437421661,2.2423841117020507,1.4974592187108304,0.04991530729036101,4.991530729036101,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier1,20.0,28.14857197350252,5.305522780415001,7.03714299337563,2.6527613902075005,0.08842537967358334,8.842537967358334,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier2,20.0,26.13354114389668,5.112097528793507,6.53338528597417,2.5560487643967535,0.08520162547989178,8.520162547989178,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier3,20.0,26.080611033066262,5.106917958325379,6.5201527582665655,2.5534589791626896,0.085115299305423,8.5115299305423,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier1,50.0,157.24830765055395,12.539868725411521,39.31207691263849,6.269934362705761,0.208997812090192,20.8997812090192,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier2,50.0,149.98153345258336,12.246694797070079,37.49538336314584,6.1233473985350395,0.204111579951168,20.4111579951168,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier3,50.0,149.88862209132466,12.242900885465204,37.472155522831166,6.121450442732602,0.2040483480910867,20.40483480910867,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier1,100.0,360.9506236324649,18.99870057747279,90.23765590811622,9.499350288736395,0.31664500962454645,31.664500962454646,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier2,100.0,346.9408600724622,18.626348543728646,86.73521501811555,9.313174271864323,0.3104391423954774,31.04391423954774,,397924759938.2981,222228361338.22983,0.4603623026414465
dwarf2_z0p2,800,402,SHMR,tier3,100.0,346.81417044766937,18.622947415693076,86.70354261191734,9.311473707846538,0.3103824569282179,31.038245692821793,,397924759938.2981,222228361338.22983,0.4603623026414465
