label,n_halos,seed,ensemble_mode,tier,sigma_over_m_cm2_g,delta_chi2_optimistic_5pct,sigma_separation_optimistic_5pct,delta_chi2_conservative_10pct,sigma_separation_conservative_10pct,required_uniform_fraction_for_3sigma,required_uniform_percent_for_3sigma,max_abs_delta_sigma_ratio_shift_percent,ensemble_mean_mass_msun,ensemble_median_mass_msun,ensemble_std_log10_mass_dex
cluster2_z0p5,400,205,HMF,tier1,0.05,2.3766322459505236e-10,1.5416329803006044e-05,5.941580614876309e-11,7.708164901503022e-06,2.5693883005010074e-07,2.5693883005010073e-05,2.2004034883060797e-05,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier2,0.05,2.1510183745721458e-10,1.466635051596731e-05,5.3775459364303644e-11,7.333175257983655e-06,2.444391752661218e-07,2.4443917526612182e-05,2.1881295042547322e-05,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier3,0.05,0.0003074722228726621,0.017534885881369804,7.686805571816552e-05,0.008767442940684902,0.0002922480980228301,0.02922480980228301,0.05437900156691766,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier1,0.1,9.506449823372455e-10,3.0832531234675585e-05,2.376612455843114e-10,1.5416265617337793e-05,5.138755205779264e-07,5.138755205779264e-05,4.400772575241518e-05,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier2,0.1,8.603999254453515e-10,2.9332574476942036e-05,2.1509998136133787e-10,1.4666287238471018e-05,4.888762412823673e-07,4.888762412823673e-05,4.37622481141986e-05,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier3,0.1,0.0011230946040249672,0.03351260365929462,0.0002807736510062418,0.01675630182964731,0.0005585433943215771,0.055854339432157715,0.10362741850731272,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier1,0.2,3.802516622191406e-09,6.166454915258366e-05,9.506291555478516e-10,3.083227457629183e-05,1.0277424858763945e-06,0.00010277424858763945,8.801407522796012e-05,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier2,0.2,3.4415403187437185e-09,5.866464283317268e-05,8.603850796859296e-10,2.933232141658634e-05,9.777440472195446e-07,9.777440472195445e-05,8.752312812276841e-05,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier3,0.2,0.00378834492122226,0.061549532258354814,0.000947086230305565,0.030774766129177407,0.0010258255376392469,0.1025825537639247,0.18933685543415235,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier1,0.3,8.555519972400722e-09,9.2496053820694e-05,2.1388799931001804e-09,4.6248026910347e-05,1.5416008970115668e-06,0.0001541600897011567,0.00013201904880411064,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier2,0.3,7.743332113236642e-09,8.799620510701948e-05,1.9358330283091605e-09,4.399810255350974e-05,1.4666034184503246e-06,0.00014666034184503246,0.00013128264018114066,313478335861963.8,223529025833550.0,0.27340019309136415
cluster2_z0p5,400,205,HMF,tier3,0.3,0.007282685230884929,0.08533865027573924,0.0018206713077212322,0.04266932513786962,0.0014223108379289875,0.14223108379289875,0.261334919781786,313478335861963.8,223529025833550.0,0.27340019309136415
