label,n_halos,seed,ensemble_mode,tier,sigma_over_m_cm2_g,delta_chi2_optimistic_5pct,sigma_separation_optimistic_5pct,delta_chi2_conservative_10pct,sigma_separation_conservative_10pct,required_uniform_fraction_for_3sigma,required_uniform_percent_for_3sigma,max_abs_delta_sigma_ratio_shift_percent,ensemble_mean_mass_msun,ensemble_median_mass_msun,ensemble_std_log10_mass_dex
dwarf,800,123,SHMR,tier1,0.2,1021.751974214464,31.964855297880888,255.437993553616,15.982427648940444,0.5327475882980149,53.27475882980149,52.756128953444794,38085709491.28355,10258451960.86968,0.6791340639315947
dwarf,800,123,SHMR,tier2,0.2,978.1201506208037,31.27491247982644,244.5300376552009,15.63745623991322,0.5212485413304407,52.124854133044074,52.22639238962752,38085709491.28355,10258451960.86968,0.6791340639315947
dwarf,800,123,SHMR,tier1,0.5,2210.0268732948134,47.01092291473135,552.5067183237034,23.505461457365676,0.7835153819121893,78.35153819121892,73.16220074505244,38085709491.28355,10258451960.86968,0.6791340639315947
dwarf,800,123,SHMR,tier2,0.5,2114.287252476781,45.98137941033067,528.5718131191952,22.990689705165334,0.766356323505511,76.63563235055109,72.6525061531778,38085709491.28355,10258451960.86968,0.6791340639315947
dwarf,800,123,SHMR,tier1,1.0,3137.544456300887,56.01378809097709,784.3861140752217,28.006894045488544,0.9335631348496182,93.35631348496182,83.13433715941244,38085709491.28355,10258451960.86968,0.6791340639315947
dwarf,800,123,SHMR,tier2,1.0,2997.1498824172295,54.74623167321409,749.2874706043074,27.373115836607045,0.9124371945535682,91.24371945535682,82.725526911607,38085709491.28355,10258451960.86968,0.6791340639315947
dwarf,800,123,SHMR,tier1,2.0,3860.671642207419,62.134303264842515,965.1679105518548,31.067151632421258,1.0355717210807087,103.55717210807087,88.6803056498775,38085709491.28355,10258451960.86968,0.6791340639315947
dwarf,800,123,SHMR,tier2,2.0,3681.2167844410196,60.673031772287594,920.3041961102549,30.336515886143797,1.0112171962047933,101.12171962047934,88.37062875128196,38085709491.28355,10258451960.86968,0.6791340639315947
