r_kpc,rho_cdm_msun_kpc3,rho_sidm_msun_kpc3
5.0,40223473.604076706,5030449.20308466
5.16022495246393,38918107.51633475,5022339.286955019
5.325584312006275,37653397.45088388,5013988.168614199
5.496242610653047,36428084.64206358,5005389.145277624
5.672369652857469,35240949.500946194,4996535.344148266
5.854140684454854,34090810.400471166,4987419.717299404
6.041736567031642,32976522.49827482,4978035.03611202
6.2353439578820895,31896976.59604091,4968373.885199083
6.435155495731672,30851098.03423267,4958428.655739493
6.641369992411992,29837845.621102832,4948191.538133584
6.85419263067791,28856210.59491186,4937654.513880035
7.073835168363709,27905215.618317287,4926809.34656046
7.300516149081458,26983913.803929195,4915647.571802746
7.534461119671204,26091387.770057652,4904160.48607729
7.775902854619335,25226748.725707885,4892339.134161388
8.02508158766844,24389135.583907824,4880174.2950860085
8.282245250849106,23577714.102480736,4867656.466356013
8.547649721171487,22791676.051402956,4854775.846209007
8.821559075222094,22030238.405913077,4841522.313649863
9.104245851919137,21292642.564564213,4827885.405966705
9.395991323687872,20578153.591435976,4813854.293400263
9.697085776325748,19886059.481746633,4799417.750601532
10.00782879783584,19215670.450129103,4784564.124472756
10.32852957651592,18566318.24085705,4769281.297943973
10.659507208599829,17937355.459328946,4753556.649191716
11.001091015757195,17328154.924139265,4737377.005758623
11.35362087276741,16738109.039086565,4720728.592982897
11.717447545693942,16166629.184487684,4703596.976095809
12.092933040895424,15613145.12718703,4685966.995294863
12.480450965220811,15077104.448668165,4667822.693051571
12.880386897746996,14557971.990693487,4649147.232868123
13.293138773428707,14055229.317915022,4629922.808659791
13.719117279042509,13568374.19691655,4610130.5439132955
14.158746261818845,13096920.091163993,4589750.379761091
14.612463151168603,12640395.671356913,4568760.951123726
15.080719393923989,12198344.340689823,4547139.450115702
15.563980903526659,11770323.774546938,4524861.475994858
16.062728523610076,11355905.474169225,4501900.871074206
16.57745850643736,10954674.333846625,4478229.54222455
17.10868300667069,10566228.22120253,4453817.267894966
17.656930590963547,10190177.570151294,4428631.490990393
18.22274676388276,9826144.98612278,4402637.0984978955
18.806694510683833,9473764.863160962,4375796.18947826
19.40935485747943,9132683.012516292,4348067.833973431
20.03132744935847,8802556.30236401,4319407.826563191
20.67323114703105,8483052.308292495,4289768.439778886
21.33570464259282,8173848.974217735,4259098.184390883
22.019407095021588,7874634.283391555,4227341.585768683
22.725018786038344,7585105.939182557,4194438.988098083
23.45324179698533,7304971.055319889,4160326.401240646
24.204800707394742,7033945.855300799,4124935.4084202587
24.98044331594299,6771755.380673727,4088193.1566597824
25.780941384507965,6518133.207919143,4050022.455845895
26.607091406069603,6272821.173660701,4010342.0162677127
27.45971539721778,6035569.107949402,3969066.85814412
28.339661716056224,5806134.575373425,3926108.929587826
29.247805906316025,5584282.623756243,3881377.9710695734
30.185051568518777,5369785.5402151,3834782.664015235
31.152331259056222,5162422.6143615665,3786232.0978367683
32.1506074180808,4961979.908435202,3735637.58253539
33.180873327130506,4768250.03417055,3682914.82211577
34.24415409744074,4581031.936206684,3627986.4466808527
35.341507689926715,4400130.681857428,3570784.8778831945
36.474025967851134,4225357.257069026,3511255.4736554157
37.642835783224555,4056528.368400628,3449359.8649650924
38.8491000980195,3893466.2508711596,3385079.361942777
40.09401914131383,3735998.481524376,3318418.2724654516
41.37883160351482,3583957.798571747,3249406.947502272
42.70481586885205,3437181.92598053,3178104.3492110875
44.0732912873656,3295513.4033818045,3104599.9347882285
45.48561948765501,3158799.4211803856,3029014.6652804767
46.94320573169537,3026891.660755444,2951500.9858182147
48.44750031306846,2899646.1396472277,2872241.681036879
49.99999999999999,2776923.061631468,2791447.582600363
51.602249524639305,2658586.671588987,2709354.1875108187
53.25584312006275,2544505.115083491,2626217.327012495
54.96242610653047,2434550.3025656478,2542308.0965441777
56.723696528574706,2328597.778126197,2457907.3087219335
58.54140684454851,2226526.592725064,2373299.757846486
60.41736567031639,2128219.1818271587,2288768.583777776
