r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_msun_kpc2
3.0,31543563.68929171,33374523.331142016
3.376006747802295,29257113.656619806,30946648.99043837
3.7991405204022097,26974451.820471246,28515469.053790133
4.275308010908995,24721711.090955812,26112574.261006705
4.811156231253991,22521903.116866577,23765224.461717512
5.41416530048151,20397022.642309353,21498674.1444033
6.092752862714207,18365059.114754744,19333245.348537892
6.856391592404972,16441128.212001929,17285618.45587279
7.7157414271780365,14636782.277267007,15368253.997262271
8.682798374150252,12959980.719893318,13589482.308603965
9.771061966979348,11415248.144563766,11953774.924630139
10.995723711238883,10003932.42953749,10462107.390164252
12.373879148704054,8724691.44342168,9112538.22842539
13.924766500838338,7573826.710229172,7900620.242994679
15.670035222800529,6545751.35600882,6819933.736315271
17.634048216824734,5633462.265256258,5862610.16321112
19.844221923690444,4828991.112009817,5019822.108465485
22.331409039755062,4123769.786559036,4282176.744278681
25.130329202048756,3508964.9241743125,3640069.2057381785
28.28005365353656,2975747.688324477,3083963.7723813746
31.824550654183444,2515528.004541656,2604633.4338651486
35.81329925143309,2120109.0511136116,2193315.56429779
40.301979977967,1781802.6112644295,1841825.3077525906
45.35325211846986,1493500.7998898155,1542623.3119109073
51.03762839557767,1248717.8905874654,1288852.2556623274
57.43445928509872,1041600.5462103246,1074341.2099677292
64.63304070095649,866916.8938954417,893588.6753364338
72.73386051246985,720030.8832389319,741731.0291271859
81.85000129460303,596866.28807833,614500.949207556
92.10871889273548,493864.5556100282,508180.13090247806
103.65321883776659,407938.2719465433,419548.1512002414
116.6446554092426,336424.2262194248,345831.44995808776
131.26438125222558,277037.26065755996,284653.61456757964
147.71647895120216,227826.66824154338,233988.69169126847
166.23060990028483,187135.5626767432,192117.92575241457
187.06522023821745,153564.73739306704,157591.3949100563
210.51114860111474,125942.86130992943,129196.37486353666
236.89568605499184,103309.7795164482,105939.25371292041
266.587144882302,84951.19288145214,87079.81830155024
300.0,71960.69625872934,73716.38842331945
