r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_msun_kpc2
30.0,189983882.09848928,189983882.09848928
33.76006747802295,190276127.8039341,190276127.8039341
37.9914052040221,189833458.49749613,189833458.49749613
42.75308010908995,188715838.3804717,188715838.3804717
48.111562312539895,186963158.45870697,186963158.45870697
54.1416530048151,184604884.57664406,184604884.57664406
60.92752862714207,181658992.59242755,181658992.59242755
68.56391592404971,178134742.41911852,178134742.41911852
77.15741427178035,174042615.23380113,174042615.23380113
86.82798374150249,169389287.1223426,169389287.1223426
97.71061966979347,164195723.5449379,164195723.5449379
109.95723711238882,158476980.1309346,158476980.1309346
123.73879148704049,152265121.9091043,152265121.9091043
139.24766500838336,145598347.9685413,145598347.9685413
156.7003522280052,138526207.71334463,138526207.71334463
176.34048216824743,131108531.6873405,131108531.6873405
198.44221923690444,123416995.86652061,123416995.86652061
223.3140903975505,115528314.9118548,115528314.9118548
251.30329202048756,107525658.29275765,107525658.29275765
282.80053653536544,99495617.09913981,99495617.09913981
318.2455065418346,91525127.23537615,91525127.23537615
358.13299251433085,83696908.12414536,83696908.12414536
403.01979977966977,76088102.41525194,76088102.41525194
453.5325211846986,68767751.6578491,68767751.6578491
510.37628395577696,61794798.67011781,61794798.67011781
574.3445928509875,55216073.05735478,55216073.05735478
646.330407009565,49066599.23264417,49066599.23264417
727.338605124698,43369481.273698315,43369481.273698315
818.5000129460303,38136405.73971583,38136405.73971583
921.0871889273553,33368451.37713169,33368451.37713169
1036.5321883776658,29057774.480129126,29057774.480129126
1166.4465540924261,25189059.184769254,25189059.184769254
1312.6438125222544,21741047.207241543,21741047.207241543
1477.1647895120216,18688049.816385508,18688049.816385508
1662.3060990028482,16001499.878814725,16001499.878814725
1870.6522023821744,13651211.643049898,13651211.643049898
2105.1114860111475,11606461.103600305,11606461.103600305
2368.9568605499157,9836902.995844364,9836902.995844364
2665.8714488230207,8313343.635389227,8313343.635389227
3000.0,7008355.428901125,7008355.428901125
