r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_msun_kpc2
3.0,31543563.68929171,34237550.92749406
3.376006747802295,29257113.656619806,31838495.852350138
3.7991405204022097,26974451.820471246,29392254.58598111
4.275308010908995,24721711.090955812,26944491.941019688
4.811156231253991,22521903.116866577,24533478.422516543
5.41416530048151,20397022.642309353,22192914.797690824
6.092752862714207,18365059.114754744,19949413.51751206
6.856391592404972,16441128.212001929,17824172.91442962
7.7157414271780365,14636782.277267007,15832741.17371367
8.682798374150252,12959980.719893318,13985408.442887943
9.771061966979348,11415248.144563766,12287740.04616233
10.995723711238883,10003932.42953749,10741163.496781286
12.373879148704054,8724691.44342168,9343728.505616587
13.924766500838338,7573826.710229172,8090668.688915359
15.670035222800529,6545751.35600882,6975051.620076232
17.634048216824734,5633462.265256258,5988390.565875479
19.844221923690444,4828991.112009817,5121198.412109511
22.331409039755062,4123769.786559036,4363426.909553532
25.130329202048756,3508964.9241743125,3704849.736640947
28.28005365353656,2975747.688324477,3135361.7691533724
31.824550654183444,2515528.004541656,2645226.9790228447
35.81329925143309,2120109.0511136116,2225237.2680193307
40.301979977967,1781802.6112644295,1866824.4473902476
45.35325211846986,1493500.7998898155,1562124.024793296
51.03762839557767,1248717.8905874654,1304006.081834189
57.43445928509872,1041600.5462103246,1086073.5285085745
64.63304070095649,866916.8938954417,902638.9602004373
72.73386051246985,720030.8832389319,748687.1695013682
81.85000129460303,596866.28807833,619828.1122711983
92.10871889273548,493864.5556100282,512244.73641039524
103.65321883776659,407938.2719465433,422637.6364736005
116.6446554092426,336424.2262194248,348170.40641064924
131.26438125222558,277037.26065755996,286416.86827389884
147.71647895120216,227826.66824154338,235311.8191344966
166.23060990028483,187135.5626767432,193105.66601397115
187.06522023821745,153564.73739306704,158324.32619849147
210.51114860111474,125942.86130992943,129736.15547028337
236.89568605499184,103309.7795164482,106332.60972209065
266.587144882302,84951.19288145214,87361.07092103333
300.0,71960.69625872934,73894.9735231273
