r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_0p050,delta_sigma_sidm_tier1_sigma_0p100,delta_sigma_sidm_tier1_sigma_0p200,delta_sigma_sidm_tier1_sigma_0p300,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_0p050,delta_sigma_sidm_tier2_sigma_0p100,delta_sigma_sidm_tier2_sigma_0p200,delta_sigma_sidm_tier2_sigma_0p300,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_0p050,delta_sigma_sidm_tier3_sigma_0p100,delta_sigma_sidm_tier3_sigma_0p200,delta_sigma_sidm_tier3_sigma_0p300
178.40395753615215,201610469.93635675,185227761.87161866,172443848.03792146,153591202.56315872,140261400.1060913,201708556.44032803,185748218.02299994,173282565.5840884,154871180.91853783,141825777.0199566,201708556.44032803,185748625.20033172,173283342.06724,154872601.73357168,141827741.0933095
202.60396114849695,192590015.2968759,178462478.27589548,167323653.75557867,150703839.98736614,138805016.75084543,192707313.16053766,178998914.2194433,168182627.50756514,152022087.70699972,140429282.24454316,192707313.16053766,178999444.66577545,168183639.37502104,152023940.19159228,140431844.11614347
230.08662834591848,182997115.22869748,170878491.55383733,161232822.05854407,146686146.87867102,136151923.21664292,183138376.15797767,171432408.76551923,162110203.23784775,148034919.7439135,137823796.25524145,183138376.15797767,171433096.42553326,162111515.40235835,148037323.23139364,137827121.5061498
261.29724336826257,172938661.27120167,162596627.89358303,154293755.22215697,141649357.73688105,132396790.99944103,173109920.23276475,163170894.99169093,155189082.5680789,143022122.2570701,134104826.54049708,173109920.23276475,163171780.68945757,155190773.06895578,143025220.1221808,134109114.0062392
296.7414920314477,162530960.09399,153749441.20459002,146643848.72530642,135726121.92720658,127660864.89672579,162739880.32303703,154348720.54791495,147558568.32754624,137118276.9737984,129395370.55913396,162739880.32303703,154349849.64359972,147560723.85105938,137122228.38525108,129400840.85171357
336.9936550342691,151892119.8195131,144472382.3234844,138425692.27195284,129059493.09086445,122080416.90122622,152148235.49742025,145103444.4723023,139363553.2430049,130468945.86757325,123834211.23430593,152148235.49742025,145104863.49618566,139366262.58838415,130473913.4637186,123841089.27240737
382.705912664619,141140830.94523117,134902048.2878197,129784726.4180935,121799611.7577049,115802799.91099167,141455733.37171566,135574025.71252382,130752110.48779847,123227277.22918434,117571887.43571031,141455733.37171566,135575774.12031364,130755448.7012813,123233397.61219922,117580361.08215055
434.6189116633813,130393598.35763112,125172628.26073742,120864931.57622206,114098186.94261363,108980114.56246309,130781016.7913793,125897152.32042708,121871052.65691124,115548330.1319489,110764180.5445444,130781016.7913793,125899245.93171011,121875049.19823019,115555654.79855698,110774317.97040911
493.5737654541996,119762174.4656008,115413229.16512536,111805882.22430786,106104942.16189611,101765148.1019252,120237392.11389273,116203900.01252681,112862315.7465652,107584842.27197528,103567367.59588434,120237392.11389273,116206307.96787736,112866910.06420103,107593254.78369395,103579000.97492109
560.5256821712366,109355362.46764258,105749209.14630371,102743562.46242456,97967487.58683881,94310501.65542679,109933637.65908782,106620072.20965794,103862779.79937702,99486099.34639317,96136335.83942877,109933637.65908782,106622674.3949476,103867739.81662646,99495165.11205328,96148852.42072475
636.559441291223,99265515.38996737,96288416.54615007,93796268.47331053,89816554.22038919,86753264.55907461,99959078.09126581,97250951.48916766,94988625.45841175,91381518.30647333,88607515.48116176,99959078.09126581,97253487.51768473,94993449.71984644,91390303.79593779,88619605.74064004
722.9069696278527,89579671.77927847,87132432.44033518,85075785.66223715,81776849.98406881,79225493.86322463,90391567.7161131,88189440.07020572,86343452.73420715,83388516.07916494,81106426.78232917,90391567.7161131,88191448.99210587,86347255.52103524,83395378.99229988,81115794.96235342
820.9673014612325,80370858.20398667,78367529.13978373,76677979.91727279,73956963.41473553,71843538.9924403,81285693.09315917,79503856.4812169,78005652.31304845,75599087.4215316,73733585.73513936,81285693.09315917,79504656.44426714,78007126.54804547,75601614.46992025,73736870.7935334
932.3292462037018,71691625.51765323,70058200.92657429,68676230.424325,66442502.08363061,64700865.20642725,72663409.76849975,71228518.65408069,70018846.25044675,68069870.6409407,66554183.64574147,72663409.76849975,71227221.38029942,70016294.01870438,68064942.98573132,66547061.29570472
1058.7971308718566,63588184.61868819,62261478.51147121,61135794.373882934,59310379.6847716,57882169.30405649,64529335.938148156,63379265.13943506,62407501.6449014,60837752.02001974,59613572.49242736,64529335.938148156,63375012.37453102,62399290.033907674,60822395.2132582,59591948.681130566
1202.4200344537292,56085628.35736314,55011981.34127841,54098670.82853251,52613307.91129304,51447538.04908051,56861800.599801175,55944228.47782942,55167419.73300976,53909813.71496976,52926734.291539244,56861800.599801175,55936444.80874038,55152465.94385071,53882094.562076606,52887995.23662361
1365.524987837061,49199175.14358486,48333345.19871853,47595118.36928889,46391351.02424298,45443951.1056863,49643105.019886315,48914309.68380022,48296325.54923301,47294000.8812608,46508927.176370665,49643105.019886315,48903046.30332845,48274750.62221172,47254217.09721014,46453575.29775621
1550.754677216051,42928989.395562485,42233052.617784515,41638455.10793419,40666612.4579458,39899831.89191398,42867552.84096935,42291197.8455947,41801838.20351701,41006943.84500345,40383340.35059634,42867552.84096935,42277162.78732019,41775017.54970682,40957693.413296334,40315062.77294216
1761.110261860995,37265786.711140886,36708154.90385928,36230841.53389005,35449050.917936884,34830839.66102267,36549747.979403235,36095857.04048826,35710081.24735716,35082705.312935606,34589899.52266235,36549747.979403235,36080432.74730063,35680671.40273501,35028913.50169759,34515579.30078378
2000.0,31999432.938950032,31556004.48950634,31175820.32157539,30551951.362797186,30057638.065831628,30597439.991192084,30242862.606877986,29941259.687990043,29450329.837115314,29064330.8201987,30597439.991192084,30227603.878032397,29912229.77520939,29397441.825440902,28991508.091416847
