M200,m200_msun,z,c200,weight
64459835440367.9,64459835440367.9,0.5,2.0859230026255573,0.0025
98873771170206.72,98873771170206.72,0.5,4.416739282613827,0.0025
35350345939001.305,35350345939001.305,0.5,3.9001578656829983,0.0025
55647999079270.92,55647999079270.92,0.5,7.6969073730863435,0.0025
49288219538999.73,49288219538999.73,0.5,4.457976812686329,0.0025
39964391781608.5,39964391781608.5,0.5,3.5682670002766432,0.0025
86094906124519.84,86094906124519.84,0.5,4.451897785076407,0.0025
57771052141693.73,57771052141693.73,0.5,6.31915345777649,0.0025
62594945214383.05,62594945214383.05,0.5,2.595316402230439,0.0025
43628369019930.86,43628369019930.86,0.5,2.7635735625849995,0.0025
58780850434384.61,58780850434384.61,0.5,5.240423561321662,0.0025
71929153378408.48,71929153378408.48,0.5,8.440943516195922,0.0025
39648353419848.6,39648353419848.6,0.5,2.230384824442373,0.0025
42649267757004.27,42649267757004.27,0.5,7.268139039031673,0.0025
45594869798661.91,45594869798661.91,0.5,4.688868932697913,0.0025
56119352788064.92,56119352788064.92,0.5,5.281699487972748,0.0025
52613781080505.0,52613781080505.0,0.5,4.893068264122494,0.0025
54897918168532.81,54897918168532.81,0.5,3.2105416906619757,0.0025
61845833017599.53,61845833017599.53,0.5,2.9501351997667515,0.0025
76551933488343.64,76551933488343.64,0.5,9.242897922092904,0.0025
72048568746376.47,72048568746376.47,0.5,2.173425612370674,0.0025
62141201530886.266,62141201530886.266,0.5,3.9115402384650015,0.0025
77971295547324.55,77971295547324.55,0.5,6.820286973267684,0.0025
48412603536760.555,48412603536760.555,0.5,3.655066433289548,0.0025
46924107896577.266,46924107896577.266,0.5,5.224060229152031,0.0025
40565382345118.46,40565382345118.46,0.5,3.981504682368415,0.0025
71115660200964.05,71115660200964.05,0.5,2.6932500649300217,0.0025
48247827661411.34,48247827661411.34,0.5,4.797751951539131,0.0025
48243401290536.52,48243401290536.52,0.5,3.824000713808318,0.0025
64514229755251.125,64514229755251.125,0.5,2.8798588776497827,0.0025
46758286958730.72,46758286958730.72,0.5,5.0708253295465875,0.0025
67427785568738.07,67427785568738.07,0.5,3.210751744820071,0.0025
62604000398019.81,62604000398019.81,0.5,4.085730483284971,0.0025
55660864150016.766,55660864150016.766,0.5,3.0375893196444257,0.0025
64687197757454.51,64687197757454.51,0.5,6.760194943433121,0.0025
64093800406475.29,64093800406475.29,0.5,5.391658922580412,0.0025
46226902166318.4,46226902166318.4,0.5,4.26519418312255,0.0025
65978346855263.93,65978346855263.93,0.5,3.4366497279373003,0.0025
40692877005349.38,40692877005349.38,0.5,3.486347987552988,0.0025
42445538057585.87,42445538057585.87,0.5,3.5247256508315994,0.0025
58816232938303.96,58816232938303.96,0.5,2.551448030884772,0.0025
38246519058172.734,38246519058172.734,0.5,7.051328495498119,0.0025
61306463935298.54,61306463935298.54,0.5,2.5775660978889254,0.0025
83586349270348.72,83586349270348.72,0.5,5.151604607657336,0.0025
83053597118505.28,83053597118505.28,0.5,5.1349908641455535,0.0025
45295078129544.32,45295078129544.32,0.5,3.376727835211313,0.0025
