r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_msun_kpc2
3.0,31543563.68929171,31543563.68929171
3.376006747802295,29257113.656619806,29257113.656619806
3.7991405204022097,26974451.820471246,26974451.820471246
4.275308010908995,24721711.090955812,24721711.090955812
4.811156231253991,22521903.116866577,22521903.116866577
5.41416530048151,20397022.642309353,20397022.642309353
6.092752862714207,18365059.114754744,18365059.114754744
6.856391592404972,16441128.212001929,16441128.212001929
7.7157414271780365,14636782.277267007,14636782.277267007
8.682798374150252,12959980.719893318,12959980.719893318
9.771061966979348,11415248.144563766,11415248.144563766
10.995723711238883,10003932.42953749,10003932.42953749
12.373879148704054,8724691.44342168,8724691.44342168
13.924766500838338,7573826.710229172,7573826.710229172
15.670035222800529,6545751.35600882,6545751.35600882
17.634048216824734,5633462.265256258,5633462.265256258
19.844221923690444,4828991.112009817,4828991.112009817
22.331409039755062,4123769.786559036,4123769.786559036
25.130329202048756,3508964.9241743125,3508964.9241743125
28.28005365353656,2975747.688324477,2975747.688324477
31.824550654183444,2515528.004541656,2515528.004541656
35.81329925143309,2120109.0511136116,2120109.0511136116
40.301979977967,1781802.6112644295,1781802.6112644295
45.35325211846986,1493500.7998898155,1493500.7998898155
51.03762839557767,1248717.8905874654,1248717.8905874654
57.43445928509872,1041600.5462103246,1041600.5462103246
64.63304070095649,866916.8938954417,866916.8938954417
72.73386051246985,720030.8832389319,720030.8832389319
81.85000129460303,596866.28807833,596866.28807833
92.10871889273548,493864.5556100282,493864.5556100282
103.65321883776659,407938.2719465433,407938.2719465433
116.6446554092426,336424.2262194248,336424.2262194248
131.26438125222558,277037.26065755996,277037.26065755996
147.71647895120216,227826.66824154338,227826.66824154338
166.23060990028483,187135.5626767432,187135.5626767432
187.06522023821745,153564.73739306704,153564.73739306704
210.51114860111474,125942.86130992943,125942.86130992943
236.89568605499184,103309.7795164482,103309.7795164482
266.587144882302,84951.19288145214,84951.19288145214
300.0,71960.69625872934,71960.69625872934
