r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_msun_kpc2
30.0,189983882.09848928,68224138.15016854
33.76006747802295,190276127.8039341,81446841.81576288
37.9914052040221,189833458.49749613,95552997.51882815
42.75308010908995,188715838.3804717,109778889.68855691
48.111562312539895,186963158.45870697,123264372.6082542
54.1416530048151,184604884.57664406,135236060.4161805
60.92752862714207,181658992.59242755,145136173.64447045
68.56391592404971,178134742.41911852,152660794.89676
77.15741427178035,174042615.23380113,157748134.20166564
86.82798374150249,169389287.1223426,160485805.8820563
97.71061966979347,164195723.5449379,161069643.14881152
109.95723711238882,158476980.1309346,159726327.31782746
123.73879148704049,152265121.9091043,156708149.0365833
139.24766500838336,145598347.9685413,152260629.4951421
156.7003522280052,138526207.71334463,146620360.13712785
176.34048216824743,131108531.6873405,140010653.04313543
198.44221923690444,123416995.86652061,132643405.9440715
223.3140903975505,115528314.9118548,124713342.50282061
251.30329202048756,107525658.29275765,116402036.29999165
282.80053653536544,99495617.09913981,107877058.29541731
318.2455065418346,91525127.23537615,99291008.79532209
358.13299251433085,83696908.12414536,90778820.32093944
403.01979977966977,76088102.41525194,82458316.36638355
453.5325211846986,68767751.6578491,74429315.7153077
510.37628395577696,61794798.67011781,66773146.3412149
574.3445928509875,55216073.05735478,59552023.98220626
646.330407009565,49066599.23264417,52810686.6319169
727.338605124698,43369481.273698315,46577440.23432164
818.5000129460303,38136405.73971583,40865700.11768122
921.0871889273553,33368451.37713169,35675707.1933513
1036.5321883776658,29057774.480129126,30996977.86237917
1166.4465540924261,25189059.184769254,26810379.09504033
1312.6438125222544,21741047.207241543,23090156.776567873
1477.1647895120216,18688049.816385508,19805831.422963172
1662.3060990028482,16001499.878814725,16924028.727625147
1870.6522023821744,13651211.643049898,14409935.687219817
2105.1114860111475,11606461.103600305,12228509.439997848
2368.9568605499157,9836902.995844364,10345468.858241774
2665.8714488230207,8313343.635389227,8728100.923177341
3000.0,7008355.428901125,7345882.042264611
