M200,m200_msun,z,c200,weight
684751378105201.5,684751378105201.5,0.5,3.8256442909381456,0.0025
150999393315092.75,150999393315092.75,0.5,3.0000030530033,0.0025
521147513288813.5,521147513288813.5,0.5,1.7849663721689843,0.0025
141263032547440.75,141263032547440.75,0.5,2.8393056352682344,0.0025
212551073041650.25,212551073041650.25,0.5,3.0535252536529707,0.0025
128059544541393.16,128059544541393.16,0.5,1.5445575787298933,0.0025
230626942602038.25,230626942602038.25,0.5,3.732771430107309,0.0025
118951679745036.84,118951679745036.84,0.5,4.345569736375305,0.0025
199793263555293.47,199793263555293.47,0.5,5.92974396964411,0.0025
862761845897236.2,862761845897236.2,0.5,2.3057606377269786,0.0025
660642730529106.9,660642730529106.9,0.5,2.606027066749042,0.0025
307726104693316.6,307726104693316.6,0.5,2.3124831162147332,0.0025
225387273830077.25,225387273830077.25,0.5,3.544951816643588,0.0025
576298721101625.9,576298721101625.9,0.5,2.4177016444497594,0.0025
664833143226844.4,664833143226844.4,0.5,3.677817304820915,0.0025
771842085740452.2,771842085740452.2,0.5,3.7418821352353104,0.0025
220951001485317.9,220951001485317.9,0.5,1.5576068925609696,0.0025
156560610734082.16,156560610734082.16,0.5,4.267994595950131,0.0025
332561303029777.25,332561303029777.25,0.5,2.501496414499848,0.0025
577291397907890.4,577291397907890.4,0.5,3.422235134957715,0.0025
138514251015643.28,138514251015643.28,0.5,2.222680025638561,0.0025
198443347019005.03,198443347019005.03,0.5,2.8621085317964012,0.0025
238050284515778.03,238050284515778.03,0.5,3.7066827694165845,0.0025
171627837689838.47,171627837689838.47,0.5,3.0537252765926044,0.0025
429080186363699.0,429080186363699.0,0.5,5.030802976413848,0.0025
982651225039243.0,982651225039243.0,0.5,2.827529699230986,0.0025
232260482754415.3,232260482754415.3,0.5,2.5360669816462718,0.0025
787448653952027.4,787448653952027.4,0.5,2.490409188751389,0.0025
197340340280465.12,197340340280465.12,0.5,2.7277515288677954,0.0025
103513712463226.72,103513712463226.72,0.5,5.42255696005714,0.0025
180257103140465.72,180257103140465.72,0.5,3.6305560689391183,0.0025
106987692272876.75,106987692272876.75,0.5,5.768958546205234,0.0025
420621969334873.56,420621969334873.56,0.5,4.601358608828497,0.0025
721756609719951.8,721756609719951.8,0.5,2.792051429380109,0.0025
386238369858725.7,386238369858725.7,0.5,6.664382287014959,0.0025
367694476972334.1,367694476972334.1,0.5,1.7972390053522052,0.0025
222587856806322.5,222587856806322.5,0.5,3.4371300476153084,0.0025
333540468606000.1,333540468606000.1,0.5,1.6917307994917576,0.0025
117932017022984.16,117932017022984.16,0.5,1.5924194874842055,0.0025
237071322070279.84,237071322070279.84,0.5,1.6128258071695096,0.0025
904477334518840.1,904477334518840.1,0.5,7.841998729849266,0.0025
113031195666508.86,113031195666508.86,0.5,2.6624762471784797,0.0025
112575597691301.4,112575597691301.4,0.5,2.408005626577589,0.0025
660724970580478.6,660724970580478.6,0.5,4.175141930691224,0.0025
183563332438484.06,183563332438484.06,0.5,2.7432473896997847,0.0025
102924689793064.9,102924689793064.9,0.5,2.0747562587021107,0.0025
317159311098448.94,317159311098448.94,0.5,1.5,0.0025
893576632427012.1,893576632427012.1,0.5,1.98733376440699,0.0025
173382440332322.28,173382440332322.28,0.5,3.957575855976325,0.0025
253046426495658.62,253046426495658.62,0.5,2.2040233136243446,0.0025
879616029822218.8,879616029822218.8,0.5,4.021982493220245,0.0025
257131978238783.66,257131978238783.66,0.5,3.1413488987154152,0.0025
130620069525906.14,130620069525906.14,0.5,3.3339748386772974,0.0025
189810359327374.22,189810359327374.22,0.5,2.9364461775190347,0.0025
184980234876863.7,184980234876863.7,0.5,3.6341226833619458,0.0025
305183153252884.1,305183153252884.1,0.5,4.040362304039251,0.0025
465203938597397.0,465203938597397.0,0.5,1.5,0.0025
156733214025996.2,156733214025996.2,0.5,2.3548842503027068,0.0025
898624053051273.6,898624053051273.6,0.5,1.7563332270734708,0.0025
523626669766584.3,523626669766584.3,0.5,2.2185966253266236,0.0025
179326983098749.78,179326983098749.78,0.5,3.372443609745466,0.0025
102796211749787.92,102796211749787.92,0.5,1.5,0.0025
523282951659735.7,523282951659735.7,0.5,2.916635889464556,0.0025
144199112811812.56,144199112811812.56,0.5,2.7641937440808126,0.0025
641950575098379.1,641950575098379.1,0.5,1.5,0.0025
267276721178179.12,267276721178179.12,0.5,2.5680867418197626,0.0025
159433930059341.3,159433930059341.3,0.5,4.8112369153478225,0.0025
694201478209846.6,694201478209846.6,0.5,3.705817681952206,0.0025
147676968944110.47,147676968944110.47,0.5,4.597080136084016,0.0025
849022233674091.8,849022233674091.8,0.5,2.213933437270699,0.0025
181613363611684.44,181613363611684.44,0.5,2.1638502532502506,0.0025
275357901428261.38,275357901428261.38,0.5,3.2295668360118466,0.0025
104208291991302.34,104208291991302.34,0.5,3.206414794341275,0.0025
198182486821473.75,198182486821473.75,0.5,7.425962589243588,0.0025
253793788105991.5,253793788105991.5,0.5,2.725024468823111,0.0025
324030514200767.7,324030514200767.7,0.5,1.6214204025173253,0.0025
