r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_10p000,delta_sigma_sidm_tier1_sigma_20p000,delta_sigma_sidm_tier1_sigma_50p000,delta_sigma_sidm_tier1_sigma_100p000,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_10p000,delta_sigma_sidm_tier2_sigma_20p000,delta_sigma_sidm_tier2_sigma_50p000,delta_sigma_sidm_tier2_sigma_100p000,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_10p000,delta_sigma_sidm_tier3_sigma_20p000,delta_sigma_sidm_tier3_sigma_50p000,delta_sigma_sidm_tier3_sigma_100p000
7.147920984212522,11647574.158080658,12604169.546236936,12636863.481934704,12448183.208206413,12153259.534428073,11651027.1102947,12554557.081961812,12579912.819126891,12389881.82160967,12101447.352021115,11651027.1102947,12554580.989676384,12579937.762709877,12389907.274943724,12101472.801060302
8.70157198512106,10129265.730775166,10927523.25904867,10980495.191866321,10882558.427200083,10693583.894580051,10133183.269213108,10880763.844393555,10925975.612367174,10824517.128963605,10639061.178757083,10133183.269213108,10880798.97680404,10926012.254610343,10824554.505330013,10639098.538769778
10.592919980436148,8681820.983397998,9331812.704072872,9389249.766089143,9342505.121764708,9220585.465160675,8686345.78668761,9289238.846997308,9339130.31204213,9288042.154441822,9168001.662071574,8686345.78668761,9289289.550980946,9339183.174806468,9288096.055684747,9168055.527927035
12.895365791812416,7337535.374041813,7855804.81546242,7909293.6418994935,7889506.508585464,7809000.7078247545,7342857.924473084,7818412.206630658,7864988.892315019,7840942.055197277,7761637.867888703,7342857.924473084,7818483.228690785,7865062.905186975,7841017.496044256,7761713.250799733
15.698264426783583,6117594.848927746,6523311.355933436,6569052.4420431405,6562083.931538733,6506830.6377775,6123947.352763236,6491784.082300349,6531489.083737676,6520888.686720699,6466773.209138782,6123947.352763236,6491878.790265596,6531587.725260298,6520989.201471211,6466873.650014961
19.110392833500455,5034044.744396489,5346551.573106264,5383501.481288273,5381659.889736649,5341902.933717364,5041668.875059793,5321275.572468941,5353169.55218524,5348588.717051042,5310234.511400006,5041668.875059793,5321391.542554502,5353290.240411783,5348711.662409078,5310357.396701741
23.264171396400208,4090498.348746658,4327774.560749208,4356377.863274092,4355841.134104918,4325860.9160311995,4099549.036619347,4308797.267037947,4333326.965205751,4331010.12636727,4302820.610531398,4099549.036619347,4308918.195370751,4333452.6148829805,4331138.071361112,4302948.567913817
28.32080300371041,3283938.2100744247,3461811.2219384117,3483207.4961395664,3482355.796192077,3458869.6721635056,3294282.497761087,3448701.3803580096,3466939.176060164,3465203.8391884346,3443886.145433649,3294282.497761087,3448785.144239618,3467025.7502270457,3465291.8617934072,3443974.3286212697
34.476529127492626,2606369.9410610124,2738214.526264691,2753763.0424034162,2752138.531087167,2733275.9867145964,2617258.593969032,2729793.466062801,2742990.489497514,2741244.5198933748,2724844.865271891,2617258.593969032,2729765.0575657967,2742959.6659212853,2741212.697073137,2724813.3700590576
41.97024570677324,2045932.5556908376,2142677.778582582,2153693.3460517935,2151377.076366897,2136044.589079468,2055675.1467361902,2136753.461221237,2146097.563199301,2144258.381929777,2131571.3825265085,2055675.1467361902,2136519.4445805387,2145851.9027099703,2144007.2231158805,2131320.56332482
51.09277439654571,1588669.9543814757,1659002.6598745955,1666630.7572569156,1663902.927164697,1651425.588650672,1594582.9166047585,1652370.3308818275,1658877.6444812051,1657059.8777101536,1647295.9519850763,1594582.9166047585,1651869.9373609768,1658353.9975987647,1656524.8173263124,1646760.8628232295
62.19814898808264,1218183.787862331,1268823.8829557113,1274035.8899777776,1271251.2495480783,1261208.8510231362,1217245.3780436271,1257954.2727499423,1262456.2900599241,1260836.984438261,1253449.6495629654,1217245.3780436271,1257217.2132920844,1261686.0585052043,1260049.9257991016,1252661.7752770532
75.71735501224364,911032.3331670518,946690.6572816884,950262.8234957294,947861.7817401539,940109.3865291404,902266.0549364066,930278.1587231554,933402.3418645203,932185.1048486902,926836.2351898348,902266.0549364066,929433.1917803178,932520.1466688868,931283.3970995051,925932.8348664909
92.17505574239229,641090.1082352585,664908.3114371253,667491.838239835,665964.5725444655,660656.4524871111,627158.9195798128,645412.9587594775,647644.4979540316,647029.6965755747,643569.8859711282,627158.9195798128,644634.2251108289,646831.9999700862,646198.9094374108,642736.8849729445
112.20995371192339,411607.45253616764,426089.4789005232,428027.2182351598,427549.2678843136,424450.8810615854,396955.8177854651,407779.8318059295,409376.0804697702,409370.23990770115,407454.86668979295,396955.8177854651,407191.1989317493,408762.38347786065,408742.54447622097,406825.09423710353
136.59957795112257,234832.3685798336,242660.64758834604,243954.70285485015,244019.04852766672,242452.68158507015,222636.67804307342,228344.78153202514,229369.6345862885,229621.64501793252,228720.03097743817,222636.67804307342,227996.53780848908,229007.04791013603,229250.8637452353,228347.8846954277
166.29045890464585,105637.6762141343,108844.93823121965,109575.02134524361,109920.41646217687,109469.14915113554,98564.46851963265,100846.77356607169,101391.9190615647,101710.64237849356,101481.7556696068,98564.46851963265,100694.32599544806,101233.40516193338,101548.53874256865,101318.9437075914
202.43486207997077,34458.31731564111,35404.030416035865,35703.9280136351,35941.57853536354,35893.022060573625,31820.181654909753,32474.93454364441,32690.621944205315,32878.44570578508,32873.61684364309,31820.181654909753,32426.597388550475,32640.394572711102,32827.05006250096,32821.94744430831
246.4355060132189,6633.535999206209,6779.113357575118,6845.962377718219,6922.683246613069,6944.653334774244,6126.9623342031255,6226.000858772231,6272.379804872684,6327.784475938355,6347.266778022741,6126.9623342031255,6215.974485475679,6261.949929969798,6317.0911904673485,6336.498902494771
300.0,2824.020002565395,2880.4341366406234,2909.1581021205666,2943.8559982842,2955.1332001134997,2496.0111420654775,2532.597821698345,2551.7025029260403,2576.004418871685,2585.8808482708982,2496.0111420654775,2530.3999338091135,2549.4503120206628,2573.7161186560097,2583.5830091335383
