r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_msun_kpc2
30.0,189983882.09848928,45729262.50022614
33.76006747802295,190276127.8039341,55129814.85493195
37.9914052040221,189833458.49749613,65946405.69963181
42.75308010908995,188715838.3804717,78031942.49838758
48.111562312539895,186963158.45870697,90982265.05874872
54.1416530048151,184604884.57664406,104152718.32017374
60.92752862714207,181658992.59242755,116724763.54304785
68.56391592404971,178134742.41911852,127879006.59951341
77.15741427178035,174042615.23380113,137001551.60401183
86.82798374150249,169389287.1223426,143725418.9765041
97.71061966979347,164195723.5449379,147952736.7037148
109.95723711238882,158476980.1309346,149759560.62896883
123.73879148704049,152265121.9091043,149355253.30942225
139.24766500838336,145598347.9685413,147006074.36825702
156.7003522280052,138526207.71334463,143003445.52465123
176.34048216824743,131108531.6873405,137638791.01969925
198.44221923690444,123416995.86652061,131193424.38838091
223.3140903975505,115528314.9118548,123926292.75657535
251.30329202048756,107525658.29275765,116075407.83938383
282.80053653536544,99495617.09913981,107856116.91648619
318.2455065418346,91525127.23537615,99460357.33905731
358.13299251433085,83696908.12414536,91054701.0334106
403.01979977966977,76088102.41525194,82781901.90506472
453.5325211846986,68767751.6578491,74760997.30808459
510.37628395577696,61794798.67011781,67087785.33275782
574.3445928509875,55216073.05735478,59835095.556300655
646.330407009565,49066599.23264417,53055204.63649651
727.338605124698,43369481.273698315,46781559.02255655
818.5000129460303,38136405.73971583,41030890.35725446
921.0871889273553,33368451.37713169,35805410.00495517
1036.5321883776658,29057774.480129126,31095635.97042111
1166.4465540924261,25189059.184769254,26882769.729264617
1312.6438125222544,21741047.207241543,23140956.68057558
1477.1647895120216,18688049.816385508,19839355.148546427
1662.3060990028482,16001499.878814725,16944088.30071684
1870.6522023821744,13651211.643049898,14419786.48241168
2105.1114860111475,11606461.103600305,12230852.938758818
2368.9568605499157,9836902.995844364,10342489.665306345
2665.8714488230207,8313343.635389227,8721521.152111705
3000.0,7008355.428901125,7337022.493368832
