r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_0p050,delta_sigma_sidm_tier1_sigma_0p100,delta_sigma_sidm_tier1_sigma_0p200,delta_sigma_sidm_tier1_sigma_0p300,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_0p050,delta_sigma_sidm_tier2_sigma_0p100,delta_sigma_sidm_tier2_sigma_0p200,delta_sigma_sidm_tier2_sigma_0p300,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_0p050,delta_sigma_sidm_tier3_sigma_0p100,delta_sigma_sidm_tier3_sigma_0p200,delta_sigma_sidm_tier3_sigma_0p300
50.0,176107789.58655167,176107923.94965932,176108058.3074912,176108327.00733125,176108595.68607873,176116057.50076726,176116191.32427892,176116325.1425376,176116592.7633006,176116860.3630639,176116057.50076726,176116200.43021432,176116342.62768924,176116625.1473656,176116905.59178787
56.78236176667797,200139025.8189595,200139161.4701201,200139297.1165206,200139568.39504358,200139839.65453318,200149458.75063407,200149593.7414115,200149728.72745222,200149998.6853262,200150268.62426183,200149458.75063407,200149606.4204858,200149753.07370636,200150043.776619,200150331.60001883
64.4847321560379,211255141.9645968,211255276.65310407,211255411.3373404,211255680.69300374,211255950.03159106,211267484.0012349,211267617.8954439,211267751.7854064,211268019.55259484,211268287.30280522,211267484.0012349,211267634.7221318,211267784.0985062,211268079.40786043,211268370.90888503
73.23190779422953,211530914.10578042,211531044.41832298,211531174.7270494,211531435.3330575,211531695.92380837,211545080.77527863,211545210.15475163,211545339.53043428,211545598.27043155,211545856.99527353,211545080.77527863,211545232.01078355,211545381.50319222,211545676.0239205,211545965.60779956
83.16561362471892,210105693.04361093,210105817.9680154,210105942.88900983,210106192.7207689,210106442.5388918,210121922.6464728,210122046.49058518,210122170.33131397,210122418.00262308,210122665.660404,210121922.6464728,210122074.91568047,210122224.92118803,210122519.13472635,210122806.93691713
94.44679918773112,207227347.23920816,207227466.00050956,207227584.7587636,207227822.26613185,207228059.76131624,207245946.26795682,207246063.79499304,207246181.31901076,207246416.3579922,207246651.38490346,207245946.26795682,207246100.78308424,207246252.35584813,207246547.9654981,207246835.24118486
107.25824638365073,203100035.01330706,203100147.03284958,203100259.04967323,203100483.07516307,203100707.089779,203121389.23596668,203121499.8629567,203121610.48725712,203121831.72779247,203122052.95757535,203121389.23596668,203121548.03067908,203121702.99698386,203122003.12389058,203122292.40622088
121.80753097231872,197868155.3434528,197868260.18504316,197868365.0242114,197868574.69528326,197868784.3566699,197892761.77516416,197892865.06385693,197892968.3501596,197893174.91559646,197893381.47147703,197892761.77516416,197892927.8732935,197893088.98153976,197893398.41708356,197893693.71741363
138.33038579152068,191686882.87339288,191686980.2820654,191687077.68858632,191687272.495174,191687467.29315785,191715353.51086268,191715449.20788932,191715544.90279815,191715736.2862636,191715927.66126072,191715353.51086268,191715531.13572094,191715702.25209388,191716027.8143003,191716334.94003695
157.09452018676518,184667904.309802,184667994.1557865,184668083.9998658,184668263.68230885,184668443.35713172,184701024.19791412,184701112.17834792,184701200.15691176,184701376.10843107,184701552.05247256,184701024.19791412,184701219.13100997,184701405.56285048,184701756.65352628,184702083.66731384
178.40395753615215,176929843.90553722,176929926.1837026,176930008.4601867,176930173.00811237,176930337.54931468,176968599.8230899,176968680.09045845,176968760.35618293,176968920.88270026,176969081.40264294,176968599.8230899,176968819.7341076,176969028.53161317,176969417.66807178,176969775.34121725
