r_kpc,rho_cdm_msun_kpc3,rho_sidm_sigma_0p200,rho_sidm_sigma_0p500,rho_sidm_sigma_1p000,rho_sidm_sigma_2p000
9.869917184236396,2438541.3562246826,1120838.4773714892,776320.7964056237,595538.2002749002,464894.65146021947
10.218446826725899,3278343.2658641245,1512901.3127953815,1046493.6859801876,801722.9730119744,624585.3039637464
10.57928385836836,4100438.1048235027,1904862.3424107195,1321055.898749703,1014558.8064279913,793458.3731216051
10.952862881588633,5192722.598005933,2412864.767584718,1674282.7393171736,1286242.8942767456,1006316.1385825993
11.339633845630107,7174830.446926752,3288028.460687269,2280486.7456730125,1751122.7138863797,1368806.120941298
11.740062588486381,9114707.875781642,4160135.326567439,2886096.4655958405,2216351.3258258183,1732450.0937292709
12.154631397969874,11467842.092691278,5194821.533798105,3601014.8055984555,2763340.398027404,2157702.6698419657
12.583839592593025,12708746.99944817,5823366.581147878,4038855.018437102,3099814.6620666436,2420916.3831697674
13.028204122961776,13146041.580195533,6151357.498562015,4271936.123104328,3280429.7313140957,2563418.5319092507
13.488260194405646,14261795.184511825,6724771.575781527,4672198.986211603,3587563.2329941606,2802784.9872202724
13.964561911594291,14450045.512943398,6959253.222359921,4839955.250993768,3716972.3543978143,2904058.520030247
14.457682945917036,14777599.050164262,7243562.77873598,5044895.257910085,3876244.8866309435,3029952.680120143
14.968217226429024,15022534.922497971,7491121.384493723,5224727.661251472,4016140.991824402,3140615.520834881
15.496779655196365,14647434.763979245,7515412.121306775,5249986.205711323,4036426.9497647383,3156417.934767785
16.044006847901738,14105441.702920888,7472669.444346349,5229951.611626407,4022093.990828947,3145199.054857233
16.610557900602483,13760959.65862711,7488782.799207586,5251785.516703333,4040132.556295213,3159357.7288752543
17.197115183564737,13249282.003950372,7439902.094758044,5229857.769698704,4024731.1930143894,3147381.628379317
17.804385163129638,12755256.773201259,7387616.748152387,5206915.684385397,4008786.661731314,3135031.303111391
18.43309925260161,12278304.152380563,7331722.898901422,5182897.272665765,3992279.7873092405,3122299.4725043583
19.084014693183377,11817858.50372029,7272023.56310444,5157734.558261394,3975188.2915719072,3109176.9942571074
19.757915466018908,11373366.375179261,7208309.534310775,5131352.17042355,3957487.5947127747,3095654.164231142
20.45561323644272,10944270.153741611,7140284.513286071,5103641.627622223,3939137.1393250427,3081711.2811013074
21.177948331572747,10530050.496792175,7067746.692348758,5074506.449572685,3920103.574823221,3067334.721220808
21.92579075242435,10130216.916896375,6990509.91216661,5043841.352789159,3900351.0556447865,3052511.019321032
22.700041221764366,9744294.76777313,6908484.24337115,5011560.367636393,3879850.3934880593,3037230.5045035877
23.50163226896731,9371812.843295507,6821486.332161116,4977541.461786939,3858557.818435129,3021476.4190942077
24.331529353180446,9012294.998088397,6729305.053512875,4941625.16321617,3836410.183997667,3005220.83190665
25.19073202615028,8665321.451774122,6631935.136620228,4903698.505660665,3813365.152980466,2988450.54131464
26.080275136111265,8330481.358559755,6529417.428783534,4863647.5259205345,3789376.0298061757,2971149.710169201
27.00123007418656,8007370.366437484,6421779.499384,4821348.2847991465,3764390.6517622643,2953300.6855274285
27.95470606480209,7695576.294853815,6308973.452501067,4776621.594667745,3738329.157106287,2934870.7226044172
28.941851501668122,7394721.132639659,6191155.812368069,4729336.291458515,3711125.8567270017,2915836.043927987
29.963855330937424,7104449.005702118,6068553.262747854,4679361.198400657,3682709.0688096704,2896171.0692090355
31.02194848320603,6824414.432262614,5941472.482768852,4626616.133328722,3653023.056570251,2875856.5101261185
32.11740535608111,6554271.089201815,5810135.854432275,4570961.265073034,3621983.4458047757,2854860.147007497
33.25154534910187,6293667.5836922545,5674775.06500932,4512230.443511449,3589478.6914652404,2833133.9430655194
34.425734452862066,6042300.438876731,5535864.700572631,4450369.640885432,3555437.309421228,2810650.210047624
35.641386894248065,5799871.256301073,5393894.884982673,4385347.475058794,3519787.6466847416,2787377.8978590043
36.89996683977406,5566084.216949327,5249304.31037967,4317123.327314459,3482450.8857858507,2763282.1517499518
38.20299015906605,5340633.738158803,5102462.158985441,4245597.306872845,3443304.792923139,2738303.8070809064
39.55202625061856,5123244.818804002,4953883.729518006,4170796.091094933,3402270.3356874436,2712399.846904586
40.94869993202291,4913659.42692998,4804144.835013989,4092780.998355108,3359270.125830856,2685523.5631360216
42.394693396943964,4711625.471546927,4653761.736688053,4011674.2934514144,3314263.502935251,2657641.543863749
43.89174824120222,4516887.363602888,4503190.426053756,3927533.889714564,3267164.541089971,2628697.1531430953
45.441667560401555,4329185.754117434,4352825.249486997,3840432.931131182,3217872.608854697,2598614.4181124405
47.046318121629,4148300.800166856,4203199.099501937,3750604.189373132,3166372.3811287344,2567352.8934604865
48.707632611842456,3974015.2909324467,4054774.873557381,3658305.5313027403,3112665.6533327326,2534872.8405700126
50.42761196565391,3806111.9450051603,3907938.77058532,3563767.342832548,3056746.0755219474,2501129.966858257
52.20832777531229,3644363.278020603,3762996.163669395,3467171.6909454884,2998561.6025802786,2466044.7183376323
54.05192478578834,3488568.8041505986,3620277.810096855,3368833.575163095,2938159.996861678,2429578.0659318184
55.96062347796665,3338540.95162802,3480129.5150464834,3269110.6463668393,2875615.1863112734,2391694.7050879267
57.93672274305631,3194094.585018448,3342796.664682447,3168346.150617581,2811038.8556881016,2352385.4349184823
59.98260265144105,3055039.8107607863,3208486.107912382,3066833.062273958,2744494.1698309686,2311606.7331989734
62.100727319304106,2921184.821130903,3077334.3659890955,2964850.1603471674,2676060.7002103226,2269308.9875423615
64.29364787647995,2792369.221474449,2949528.3345986814,2862787.377155966,2605930.4031935185,2225509.1591615654
66.56400553910801,2668433.858302797,2825197.009419089,2761000.468572222,2534312.1041150047,2180237.695737816
68.9145347907888,2549217.6988686253,2704423.07558148,2659792.1549518947,2461389.4380709603,2133517.0104929875
71.34806667607404,2434550.418016272,2587239.482287963,2559405.7191264243,2387307.963903225,2085334.5252777822
73.86753221025756,2324284.801949289,2473683.7703567715,2460129.8403800074,2312312.5044608233,2035757.4260290065
