r_kpc,rho_cdm_tier1_msun_kpc3,rho_sidm_tier1_sigma_0p050,rho_sidm_tier1_sigma_0p100,rho_sidm_tier1_sigma_0p200,rho_sidm_tier1_sigma_0p300,rho_cdm_tier2_msun_kpc3,rho_sidm_tier2_sigma_0p050,rho_sidm_tier2_sigma_0p100,rho_sidm_tier2_sigma_0p200,rho_sidm_tier2_sigma_0p300,rho_cdm_tier3_msun_kpc3,rho_sidm_tier3_sigma_0p050,rho_sidm_tier3_sigma_0p100,rho_sidm_tier3_sigma_0p200,rho_sidm_tier3_sigma_0p300
328.4906110610244,219294.49676398534,215351.80561469414,211863.04743278472,205966.8842403565,201175.7687817002,219675.60818609645,216357.7322724203,213414.4311029449,208423.86054095166,204353.14254329415,219675.60818609645,216355.20570123286,213409.60976184247,208415.02598563477,204340.91246370156
340.0903755876317,205146.39496426095,201578.81679231828,198419.1766530237,193073.19383714593,188723.49754139892,205505.22825446058,202523.51019108423,199876.04992358666,195381.9802911403,191711.44629214986,205505.22825446058,202520.76239913542,199870.80515464893,195372.3659072613,191698.13226290274
352.0997546741137,191815.3356676148,188588.8350113996,185728.8137475221,180884.47089914427,176937.96342031148,192150.75627402437,189473.1802524032,187093.71111966894,183050.10123082725,179743.29053876086,192150.75627402437,189470.1959303146,187088.0135814877,183039.6528633569,179728.81715808963
364.5332127595783,179260.64293102294,176344.1084046737,173756.69505640998,169369.4491311143,165790.9598732792,179571.3866795294,177168.7845055449,175031.8901879084,171396.62962707435,168420.10965261052,179571.3866795294,177165.54708925815,175025.70814728204,171385.2887479235,168404.39547868154
377.40572505598976,167443.56844430635,164808.57542239176,162469.05119739394,158498.0537874536,155255.25120939367,167728.27627325896,165574.09264522183,163656.59556066865,160391.20241755343,157714.34696360494,167728.27627325896,165570.5851358579,163649.89644928713,160378.9089522544,157697.30839645155
390.73279558474127,156327.3856899645,153947.9887838817,151833.7548083796,148241.58441202572,145304.7792129221,156584.59117801648,154654.6795521211,152935.47075834798,150004.82594414515,147599.61879658402,156584.59117801648,154650.8851305674,152928.22235969026,149991.5204928306,147581.17320797386
404.53047585014156,145876.00306079772,143728.51463872832,141818.9077185051,138571.28273938695,135913.21652247387,146104.15440785117,144376.55280953468,142836.4043262468,140208.45675711244,138049.27235572028,146104.15440785117,144372.45444446665,142828.57402616882,140194.07921674935,138029.33617652353
418.81538417230456,136055.03357930135,134117.84971335385,132393.99637434896,129459.5451366408,127055.21848499427,136252.41652117443,134707.1760747913,133328.5964505254,130974.13417081292,129037.56536789998,136252.41652117443,134702.75563033976,133320.14953716967,130958.62062952129,129016.04980112522
433.60472570272856,126831.37995718946,125084.80420580406,123529.47304250566,120879.50150984834,118706.00079960325,126996.15236498861,125615.16178681546,124382.24828192871,122274.66436175439,120539.34647881977,126996.15236498861,125610.40087427745,124373.14957164055,122257.95007914255,120516.16162520718
448.9163131466735,118173.6805875125,116599.76983968921,115197.2418468057,112805.5285455631,110841.87200739712,118303.87053855314,117070.70496427952,115969.01586154485,114084.10538040263,112530.56287989697,118303.87053855314,117065.58571598904,115959.23118217241,114066.12752696718,112505.62155586228
464.76858821728956,110051.99284269284,108634.41121865982,107370.35645994979,105212.95653029348,103439.94636984695,110145.527646778,109045.30419218687,108061.73627362025,106377.50043250028,104987.9979860274,110145.527646778,109039.80957279763,108051.23306592181,106358.19921568064,104961.21731109895
481.18064384734447,102437.1084767332,101160.98419824781,100022.3407449796,98077.39314888882,96477.4696890637,102491.78934978553,101511.02300221422,100633.68890655991,99130.13813108296,97888.53019333896,102491.78934978553,101505.13620788734,100622.43508218137,99109.45471749933,97859.828731928
498.1722471852967,95301.30829914426,94153.11518820834,93127.988301263,91375.5539623339,89932.67191020085,95314.72724845729,94441.21529547047,93659.3447606763,92318.33925378195,91209.94736756827,95314.72724845729,94434.91918660677,93647.30762739822,92296.2138255865,91179.24246962038
515.7638634034136,88618.21907685773,87585.66110385284,86663.22505439793,85085.12937029511,83784.63759671201,88587.85309647513,87810.5613115509,87114.40391369257,85919.49665388715,84930.98870570732,88587.85309647513,87803.8400693245,87101.55332840758,85895.87415830772,84898.20443071867
533.976680346609,82362.89634231443,81434.80617865305,80605.21766950788,79184.91096494284,78013.44534593941,82286.10419736792,81595.06815812305,80975.80872604497,79912.10837205243,79031.39262975096,82286.10419736792,81587.90859552831,80962.11962084814,79886.9432281097,78996.4663538475
552.832634051689,76511.0277075176,75677.26147595726,74931.56971546159,73653.98213089784,72599.35401139339,76385.10128015734,75771.32017491721,75220.98747390094,74275.00976200144,73491.119489454,76385.10128015734,75763.71098107062,75206.43841684621,74248.2632328513,73453.9982797846
572.3544351677408,71039.66455743324,70291.0177916384,69621.09223631558,68472.51611622964,67523.62091781505,70861.6879556249,70317.04394601265,69828.44105749423,68987.99487655719,68290.999254379,70861.6879556249,70308.97485907166,69813.01268487675,68959.63223252357,68251.63598608953
592.5655963094872,65926.86989657414,65254.993723052685,64653.4520823164,63621.42497107076,62768.1514715629,65693.81383748206,65210.989265554614,64777.62208601061,64031.692454146614,63412.60508146471,65693.81383748206,65202.452663445234,64761.30013389685,64001.68851179704,63370.96608281748
613.490460376551,61151.90669303268,60549.23438667881,60009.379370435745,59082.58085106491,58315.7308478024,60860.658588959486,60433.064792558296,60049.08044213555,59387.727451815364,58838.427095672436,60860.658588959486,60424.05741382316,60031.859040535506,59356.072642000625,58794.5005836508
635.1542298727387,56695.04788609786,56154.725609196474,55670.485140603145,54838.63903650489,54149.85092335444,56342.50247882141,55964.21198911798,55624.339976209885,55038.6018960222,54551.7561598762,56342.50247882141,55954.73529558942,55606.22235087465,55005.30358016595,54505.554096607644
657.5829972606555,52537.26015763796,52053.08063717146,51618.95050728383,50872.730883645476,50254.40602382504,52120.27941394998,51785.96037938395,51485.45556854178,50967.25464115439,50536.24550395716,52120.27941394998,51776.01990696388,51466.45281267272,50932.334895015854,50487.80056970492
680.8037763882124,48660.63913122635,48226.98587216549,47837.98130621449,47168.93263659027,46614.172398650655,48175.948522503015,47880.811990480244,47615.40863987069,47157.47491089429,46776.33827062363,48175.948522503015,47870.41725118883,47595.53953340597,47120.97021294653,46725.703454656716
704.8445350248754,45048.19868844246,44659.99241750722,44311.60160724328,43712.062256164805,43214.60774814277,44492.60338711823,44232.35078679342,43998.21673159717,43594.01206394122,43257.37738282432,44492.60338711823,44221.51766332821,43977.51228426377,43555.98153000018,43204.63727009054
729.7342285468485,41683.936823337855,41336.588295737434,41024.73134368907,40487.76572193616,40041.94412706886,41054.37537368586,40825.15346231049,40618.850736320295,40262.50334181156,39965.54149200685,41054.37537368586,40813.90592919812,40597.35747867488,40223.03477275784,39910.82064972481
755.5028348117513,38552.394508379715,38241.75667908975,37962.743964001405,37482.073681829475,37082.7437701829,37846.04224158346,37644.39566830388,37462.83895326254,37149.0741219488,36887.44202640709,37846.04224158346,37632.764244895145,37440.615985705226,37108.27859957442,36830.89752605243
782.1813902648097,35639.103433765136,35361.43285073786,35111.93126381117,34681.87894721661,34324.386263964305,34853.206383753466,34676.04227327922,34516.46780470459,34240.55590398269,34010.354818661486,34853.206383753466,34664.063921859306,34493.586612378975,34198.5674821728,33952.17584458316
809.8020273200361,32930.326746174986,32682.24560520213,32459.245395222915,32074.679588366685,31754.812585013595,32062.397573241615,31906.948716818468,31766.88194347207,31524.584284852466,31322.316328437006,32062.397573241615,31894.667762384048,31743.428096656684,31481.562923746038,31262.72801896255
838.3980130614264,30413.13146298361,30191.594302976835,29992.37992234921,29648.66652039256,29362.61777167901,29461.084602680072,29324.877780443745,29202.10549583552,28989.62760712743,28812.158160747633,29461.084602680072,29312.34736157407,29178.181388223093,28945.764088291653,28751.428285529102
868.0037893107856,28075.27070926192,27877.533207493594,27699.655955698534,27392.61254456434,27136.94220549515,27037.590212057356,26918.416376874382,26810.960440500163,26624.90789905523,26469.429967752083,27037.590212057356,26905.697538720167,26786.68354246238,26580.420571877607,26407.86435915076
