r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_msun_kpc2
3.0,31543563.68929171,34080979.16732918
3.376006747802295,29257113.656619806,31630528.062804222
3.7991405204022097,26974451.820471246,29160027.08908074
4.275308010908995,24721711.090955812,26707239.828056715
4.811156231253991,22521903.116866577,24304229.977114145
5.41416530048151,20397022.642309353,21979920.013463333
6.092752862714207,18365059.114754744,19757330.880614568
6.856391592404972,16441128.212001929,17655045.191931404
7.7157414271780365,14636782.277267007,15686777.128640598
8.682798374150252,12959980.719893318,13861596.529198663
9.771061966979348,11415248.144563766,12184318.506608848
10.995723711238883,10003932.42953749,10655969.023173392
12.373879148704054,8724691.44342168,9274448.171828333
13.924766500838338,7573826.710229172,8035011.8193234755
15.670035222800529,6545751.35600882,6930860.286907225
17.634048216824734,5633462.265256258,5953704.139460977
19.844221923690444,4828991.112009817,5094284.918218002
22.331409039755062,4123769.786559036,4342790.549184227
25.130329202048756,3508964.9241743125,3689222.9163465956
28.28005365353656,2975747.688324477,3123687.526040739
31.824550654183444,2515528.004541656,2636636.7708112
35.81329925143309,2120109.0511136116,2219026.640811405
40.301979977967,1781802.6112644295,1862428.8742499398
45.35325211846986,1493500.7998898155,1559096.1646032927
51.03762839557767,1248717.8905874654,1301995.3129318845
57.43445928509872,1041600.5462103246,1084807.976778981
64.63304070095649,866916.8938954417,901910.0715025195
72.73386051246985,720030.8832389319,748336.7279781834
81.85000129460303,596866.28807833,619737.4959286194
92.10871889273548,493864.5556100282,512326.161375024
103.65321883776659,407938.2719465433,422827.08687103784
116.6446554092426,336424.2262194248,348422.0004818614
131.26438125222558,277037.26065755996,286698.4141931038
147.71647895120216,227826.66824154338,235601.35462640866
166.23060990028483,187135.5626767432,193388.78815461937
187.06522023821745,153564.73739306704,158592.1648970528
210.51114860111474,125942.86130992943,129983.88105516035
236.89568605499184,103309.7795164482,106558.4447359297
266.587144882302,84951.19288145214,87566.10448821391
300.0,71960.69625872934,74095.99254304986
