r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_10p000,delta_sigma_sidm_tier1_sigma_20p000,delta_sigma_sidm_tier1_sigma_50p000,delta_sigma_sidm_tier1_sigma_100p000,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_10p000,delta_sigma_sidm_tier2_sigma_20p000,delta_sigma_sidm_tier2_sigma_50p000,delta_sigma_sidm_tier2_sigma_100p000,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_10p000,delta_sigma_sidm_tier3_sigma_20p000,delta_sigma_sidm_tier3_sigma_50p000,delta_sigma_sidm_tier3_sigma_100p000
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2173570475023514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4819581811036422,25231.88640579937,23461.458631372127,19519.32420606917,13714.10963927142,10613.203095838802,25233.882522355543,23497.411472288,19609.729480912567,13867.141091844533,10779.843562632575,25233.882522355543,23497.41251153511,19609.73056564817,13867.14219704899,10779.84466526557
1.804072235870285,300785.1918508028,293504.7786623337,253876.67789127043,185690.15833246012,145474.3666462163,300813.500280084,293727.2793646509,254663.65681085657,187310.46806015034,147365.60385059603,300813.500280084,293727.2951576068,254663.67336103215,187310.48506074448,147365.62093105022
2.196200050540016,1711193.9017716614,1738043.9824017033,1569524.055239544,1219088.3094962747,974243.3302340765,1711360.4013671149,1738174.904933597,1572164.544029056,1226647.0403333183,984273.2745352592,1711360.4013671149,1738175.0052730788,1572164.6492195097,1226647.148492978,984273.3833235101
2.6735596092499083,4633504.241976565,4801769.247235432,4481673.860662017,3639437.1515403134,2903049.582809933,4633984.472445703,4800452.941103958,4485238.707666305,3655843.866630041,2928918.093160575,4633984.472445703,4800453.2591794515,4485239.041291465,3655844.209993366,2928918.438824645
3.2546766322380094,10630102.944667147,11180173.547723811,10745638.247342508,9221245.225580148,7571944.395981699,10631226.637636334,11174059.208722278,10746086.419150094,9245815.88155846,7621084.802368719,10631226.637636334,11174060.020202288,10746087.270685647,9245816.758897115,7621085.686499456
3.962103535596159,19185696.77665905,20265314.290413648,19912965.739188395,17960945.61195743,15310165.515948638,19187834.815990172,20251489.038056903,19904163.30633458,17983492.70162228,15375953.020669967,19187834.815990172,20251490.765871,19904165.12001425,17983494.572207425,15375954.9078368
4.823294661991968,27329985.76396267,28826393.7063995,28735422.143305648,26996799.16776803,23995982.606388237,27333339.042968053,28804386.291035436,28713499.844463833,27002400.1718907,24053568.60862747,27333339.042968053,28804389.4573681,28713503.168442525,27002403.60268522,24053572.073231407
5.871671748956393,33376435.435619492,35067627.91450653,35255200.151139244,34126770.16671821,31505248.79105844,33381000.77650738,35038705.32361179,35220306.98612126,34107726.783047825,31532990.820216592,33381000.77650738,35038710.583591044,35220312.50788189,34107732.484298445,31532996.581008893
7.147920984212522,37102505.4839772,38856079.37840268,39262503.15451211,38808793.48294704,36956169.18948244,37108085.00841046,38821051.67225222,39215651.940003805,38763508.68684988,36943249.76195917,37108085.00841046,38821059.89543191,39215660.5722666,38763517.60077085,36943258.771024816
8.70157198512106,37316097.90382486,38990050.12599074,39504786.78628227,39556267.98932756,38496336.201143876,37322415.41106489,38950388.54651576,39448660.72334682,39488896.68925072,38444329.89295462,37322415.41106489,38950401.01405337,39448673.81071564,39488910.20353098,38444343.55202633
10.592919980436148,36369456.950996615,37907155.97392354,38460439.83793169,38823745.42312432,38343505.802857146,36376497.30952403,37864255.08061339,38397579.33641787,38739689.76256274,38260344.01142382,36376497.30952403,37864273.899166234,38397599.08907899,38739710.15749391,38260364.62358555
12.895365791812416,33985739.384693585,35347516.07500312,35885375.701850496,36399059.740520306,36288606.89569104,33993480.36770864,35302897.83077286,35818457.24925789,36303959.44723004,36183490.77755147,33993480.36770864,35302926.122756064,35818486.94198399,36303990.09991909,36183521.75246577
