r_kpc,rho_cdm_msun_kpc3,rho_sidm_msun_kpc3
42.70481586885205,3437181.92598053,3640969.3330489583
44.0732912873656,3295513.4033818045,3492734.171662225
45.48561948765501,3158799.4211803856,3349267.502223669
46.94320573169537,3026891.660755444,3210494.447219322
48.44750031306846,2899646.1396472277,3076332.539800571
49.99999999999999,2776923.061631468,2946693.241552
51.602249524639305,2658586.671588987,2821483.2539270753
53.25584312006275,2544505.115083491,2700605.645322818
54.96242610653047,2434550.3025656478,2583960.814679537
56.723696528574706,2328597.778126197,2471447.311084477
58.54140684454851,2226526.592725064,2362962.5272758286
60.41736567031639,2128219.1818271587,2258403.283293568
62.35343957882087,2033561.247378858,2157666.3148815683
64.3515549573167,1942441.6440617486,2060648.679662866
66.41369992411992,1854752.269762534,1967248.0926197262
68.5419263067791,1770387.960199555,1877363.2010309892
70.73835168363708,1689246.3876474595,1790893.8077603476
73.0051614908146,1611227.963702072,1707741.050652463
75.344611196712,1536235.746027429,1627807.5447764087
77.7590285461933,1464175.3490262714,1550997.4933517538
80.25081587668436,1394954.858374147,1477216.7723940024
82.82245250849104,1328484.7493554,1406372.9934139384
85.47649721171487,1264677.8089371228,1338375.5478909758
88.21559075222093,1203449.0615142751,1273135.6367044167
91.04245851919137,1144715.698255887,1210566.2872401928
93.95991323687875,1088397.0099785412,1150582.3604859603
96.97085776325744,1034414.3234691654,1093100.5500769312
100.07828797835835,982690.9411746833,1038039.3749517762
103.28529576515915,933152.084171294,985319.1670163037
106.59507208599828,885724.8383210886,934862.0549868849
110.01091015757196,840338.1035185545,886591.9453912127
113.53620872767411,796922.545924192,840434.5015365306
117.1744754569394,755410.5530771578,796317.1211114844
120.92933040895424,715736.1917735701,754168.9129639709
124.80450965220805,677835.1685919637,713920.673491077
128.8038689774699,641644.792942447,675504.8629860381
132.931387734287,607103.9425114769,638855.5822091011
137.1911727904251,574153.0309698498,603908.5493824189
141.58746261818845,542733.9778077046,570601.0777522727
146.12463151168603,512790.18015697715,538872.0538135972
150.80719393923988,484266.48645900894,508661.9162509736
155.63980903526658,457109.17183289764,479912.6356159662
160.6272852361006,431265.9149987708,452567.69473215804
165.7745850643735,406685.77660948253,426572.0697957288
171.0868300667069,383319.17884435656,401872.2121204239
176.56930590963546,361117.8861194816,378416.03046064434
182.2274676388276,340034.98677082534,356152.8738348432
188.06694510683832,320024.87556898,335033.5147629194
194.09354857479428,301043.2369277401,315010.13282559416
200.31327449358471,283047.02867290756,296036.2984505055
206.7323114703103,265994.466242697,278066.9568286519
213.3570464259281,249845.0071968266,261058.41186565976
220.1940709502159,234559.33591781653,244968.31007486055
227.25018786038345,220099.3483950496,229755.6243231191
234.5324179698533,206428.13698981862,215380.63734561292
242.04800707394742,193509.97508770216,201804.9249520378
249.8044331594299,181310.30155319787,188991.33885390745
257.8094138450797,169795.7049104459,176903.9890504975
266.07091406069577,158933.9071830524,165508.22571942315
274.5971539721777,148693.74733535267,154770.620566659
283.39661716056224,139045.16426687752,144658.9475998863
292.47805906316023,129959.17932117305,135142.1632982115
301.85051568518776,121407.87827943433,126190.38616046596
311.5233125905622,113364.39281851807,117774.8756232941
321.506074180808,105802.88142174373,109868.01034900337
331.808733271305,98698.50973939359,102443.26589156069
342.4415409744071,92027.43040390944,95475.1917571006
353.415076899267,85766.76231239273,88939.38788278119
364.7402596785113,79894.56939610426,82812.480564728
376.4283578322456,74389.83890316008,77072.09787207555
388.491000980195,69232.45922652261,71696.84458973547
400.94019141313834,64403.1973146363,66666.27673743227
413.7883160351482,59883.67570665396,61960.87571675665
427.0481586885205,55656.34923812158,57562.02214146826
440.73291287365555,51704.481466238794,53451.969409046535
454.8561948765498,48012.120866393336,49613.81707354426
469.4320573169538,44564.07685359502,46031.484081167124
484.47500313068457,41345.89568372285,42689.68193070406
499.99999999999994,38343.83629018503,39573.887821010154
516.022495246393,35544.846111696075,36670.31784722549
532.5584312006275,32936.536966440624,33965.900306347066
549.6242610653042,30507.16102696127,31448.249171205523
567.2369652857465,28245.586948715714,29105.637789877892
585.4140684454851,26141.276203451114,26926.972865152078
604.1736567031639,24184.259666375667,24901.76876588815
623.5343957882087,22365.11450363238,23020.122219063735
643.515549573167,20674.94140383111,21272.68742798438
664.1369992411992,19105.34219442951,19650.651658643266
685.4192630677903,17648.397880612865,18145.711332575123
707.3835168363702,16296.647141052805,16750.04866081186
730.0516149081452,15043.065311568173,15456.308849759402
753.4461119671199,13881.043884305205,14257.577906012304
777.590285461933,12804.37054663997,13147.361063348928
802.5081587668436,11807.209780612115,12119.561851432722
828.2245250849104,10884.084040360429,11168.461822119198
854.7649721171487,10029.85552177209,10288.700945757935
882.1559075222094,9239.70853540411,9475.258686508283
910.4245851919128,8509.132490707074,8723.435762474557
939.5991323687865,7833.905496695488,8028.836593428232
969.7085776325744,7210.078581480826,7387.352436033418
1000.7828797835834,6633.960530521415,6795.145203834845
1032.8529576515916,6102.1033410596765,6248.631966814819
1065.9507208599828,5611.288288013667,5744.470123076698
1100.1091015757195,5158.512594572248,5279.543233171256
1135.3620872767399,4740.976698911366,4850.94750574646
1171.7447545693929,4356.072106801713,4455.978921567556
1209.2933040895412,4001.3698184134482,4092.1209815191132
1248.0450965220805,3674.6093163358723,3757.0330629556324
1288.038689774699,3373.6881007151383,3448.5393677072043
1329.31387734287,3096.6517564626124,3164.6184441609166
