r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_0p050,delta_sigma_sidm_tier1_sigma_0p100,delta_sigma_sidm_tier1_sigma_0p200,delta_sigma_sidm_tier1_sigma_0p300,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_0p050,delta_sigma_sidm_tier2_sigma_0p100,delta_sigma_sidm_tier2_sigma_0p200,delta_sigma_sidm_tier2_sigma_0p300,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_0p050,delta_sigma_sidm_tier3_sigma_0p100,delta_sigma_sidm_tier3_sigma_0p200,delta_sigma_sidm_tier3_sigma_0p300
50.0,233176823.81964555,233176875.12795523,233176926.4354627,233177029.0480707,233177131.6574704,233199693.06965557,233199744.09676847,233199795.12308383,233199897.1733217,233199999.22036955,233199693.06965557,233199776.18433857,233199856.71086484,233200011.151069,233200158.29794994
56.78236176667797,243533659.34408364,243533710.5897317,243533761.83469635,243533864.32257536,243533966.8077218,243560544.55379152,243560595.45152187,243560646.34857294,243560748.1406386,243560849.92998877,243560544.55379152,243560637.69948676,243560727.44545007,243560898.24814588,243561059.46406013
64.4847321560379,244750968.23787382,244751018.35397792,244751068.4694975,244751168.69878453,244751268.92573488,244781978.3242142,244782028.0197485,244782077.71470264,244782177.10287112,244782276.48872027,244781978.3242142,244782082.977319,244782183.21224573,244782372.38823345,244782549.1018282
73.23190779422953,244109837.55095592,244109886.15152758,244109934.75159645,244110031.95022666,244110129.14684665,244145537.40526244,244145585.50579682,244145633.60583308,244145729.80441004,244145826.0009938,244145537.40526244,244145657.08759984,244145771.0201415,244145984.18545908,244146181.12774345
83.16561362471892,241856140.0509682,241856186.8130227,241856233.57464218,241856327.0965765,241856420.61677185,241897275.77234316,241897321.9488321,241897368.12489092,241897460.47571626,241897552.8248193,241897275.77234316,241897415.17473474,241897547.09400102,241897791.79904294,241898015.3851352
94.44679918773112,238173229.59107187,238173274.23781246,238173318.88417432,238173408.17576292,238173497.46583864,238220765.82570064,238220809.7959446,238220853.7658144,238220941.70443285,238221029.64155504,238220765.82570064,238220931.48842192,238221087.38861758,238221374.2245607,238221633.50230786
107.25824638365073,233245452.53264052,233245494.84712207,233245537.16127303,233245621.7885839,233245706.41457188,233300596.16437063,233300637.70773435,233300679.25077194,233300762.33586955,233300845.41966373,233300596.16437063,233300796.55197895,233300984.19964477,233301326.91462117,233301633.66192022
121.80753097231872,227192711.33797836,227192751.14856791,227192790.9588678,227192870.57859802,227192950.19716918,227257006.76905245,227257045.71184802,227257084.65435877,227257162.53852612,227257240.4215544,227257006.76905245,227257253.28763857,227257483.1534728,227257900.29861033,227258270.43036437
138.33038579152068,220140976.15438324,220141013.3376442,220141050.52065063,220141124.88590032,220141199.25013208,220216367.76359203,220216403.98247775,220216440.20111424,220216512.63763994,220216585.07316902,220216367.76359203,220216675.37650502,220216961.1987775,220217477.1224017,220217931.53978205
157.09452018676518,212198887.87874535,212198922.35776734,212198956.8365654,212199025.79349148,212199094.74952343,212287857.94523954,212287891.3658236,212287924.78619003,212287991.62626898,212288058.46547627,212287857.94523954,212288245.99080804,212288605.5153194,212289251.6487793,212289817.31672016
178.40395753615215,203469404.7243378,203469436.4652082,203469468.20588222,203469531.6866413,203469595.16661516,203575099.46357733,203575130.05698442,203575160.6502013,203575221.83606362,203575283.02116463,203575099.46357733,203575592.95773596,203576049.1232316,203576866.0568013,203577577.7603532
202.60396114849695,194065568.50773263,194065597.51878884,194065626.52967292,194065684.5509246,194065742.57148758,194192037.66405368,194192065.446286,194192093.22835258,194192148.7919874,194192204.35495883,194192037.66405368,194192667.83588678,194193249.23738137,194194287.47413522,194195188.39632547
230.08662834591848,184092484.30691296,184092510.63296685,184092536.95886973,184092589.61022383,184092642.2609749,184244856.17719185,184244881.20321348,184244906.22909063,184244956.28041294,184245006.33115786,184244856.17719185,184245661.7313094,184246403.7443296,184247725.60997996,184248868.88590485
261.29724336826257,173674622.78883794,173674646.5101544,173674670.23133954,173674717.6733148,173674765.114764,173859386.17760634,173859408.54015607,173859430.9025803,173859475.6270547,173859520.35102966,173859386.17760634,173860412.46923572,173861356.4324524,173863034.48441094,173864481.688714
296.7414920314477,162925457.32812032,162925478.55316436,162925499.77809358,162925542.2276096,162925584.6766678,163150891.59799427,163150911.419916,163150931.24172994,163150970.8850354,163151010.52791035,163150891.59799427,163152189.58624458,163153381.73777482,163155496.6368372,163157315.7063095
336.9936550342691,151968357.2922165,151968376.15278283,151968395.01324987,151968432.73388696,151968470.45412746,152244658.90791073,152244676.33687007,152244693.76573718,152244728.62319458,152244763.4802828,152244658.90791073,152246280.3414367,152247767.29541463,152250399.54273754,152252657.4274161
382.705912664619,140926538.76123962,140926555.40822425,140926572.0551235,140926605.3486646,140926638.64186385,141266106.19286534,141266121.39646187,141266136.5999795,141266167.0067788,141266197.4132633,141266106.19286534,141268093.80512032,141269913.37096864,141273126.61381793,141275874.50971338
434.6189116633813,129920903.05964078,129920917.65626113,129920932.25280805,129920961.4456811,129920990.63826019,130338356.87700994,130338370.03544027,130338383.19380379,130338409.51033035,130338435.82658988,130338356.87700994,130340726.71897513,130342891.45249066,130346702.79052114,130349950.08979173
493.5737654541996,119066795.38904686,119066808.10612857,119066820.82314748,119066846.25699644,119066871.69059363,119578163.65601201,119578174.9566104,119578186.25715245,119578208.85806748,119578231.45875716,119578163.65601201,119580875.72667657,119583345.762392,119587677.11821422,119591349.16752565
560.5256821712366,108472511.24161331,108472522.2530572,108472533.2644474,108472555.2870669,108472577.30947186,109093542.00243242,109093551.63438652,109093561.26629332,109093580.52996522,109093599.79344796,109093542.00243242,109096454.9693404,109099096.39132975,109103700.60922682,109107575.15666218
636.559441291223,98231590.24440958,98231599.72209986,98231609.19974452,98231628.15489747,98231647.10986826,98974138.78859451,98974146.93727766,98974155.0859212,98974171.38309032,98974187.68010189,98974138.78859451,98976946.65333177,98979473.47981377,98983831.84337263,98987451.43330531
