r_kpc,rho_cdm_msun_kpc3,rho_sidm_msun_kpc3
0.1,563238197.0641061,243088377.29602677
0.10372352460387815,541564288.9601161,242181126.90647846
0.1075856955625132,520674386.94819796,241218038.1795046
0.11159167540703682,500540533.4982702,240193824.0695703
0.11574681889669769,481135779.35067004,239102622.66648206
0.12005668017652252,462434147.3438657,237937954.98586807
0.12452702020149467,444410597.53305763,236692688.11961454
0.12916381443717365,427040993.5526769,235359007.25136822
0.13397326084704933,410302070.1774444,233928400.945628
0.13896178817730712,394171402.03825974,232391665.0845561
0.14413606455007819,378627373.45072734,230738931.78196546
0.14950300637666206,363649149.31562227,228959730.43406418
0.15506978760263462,349216647.0520348,227043088.60602844
0.16084384929720033,335310509.5253211,224977680.48374093
0.16683290959960628,321912078.9333279,222752029.87690154
0.17304497403591348,309003371.6156552,220354772.95758188
0.17948834621991527,296567053.75197524,217774982.79652473
0.18617163895250782,284586417.9166324,215002553.1537587
0.19310378573434772,273045360.4579259,212028632.91481832
0.2002940527071863,261928359.67160457,208846095.350241
0.20775205103984307,251220454.7392101,205450018.68758652
0.2154877497753732,240907225.40296203,201838147.37108126
0.2235114891566026,230974772.34991747,198011298.17967573
0.23183399444784317,221409698.27913713,193973673.48724237
0.24046639027126218,212199089.62656713,189733046.5339401
0.2494202154770703,203330498.9232936,185300791.1720821
0.2587074385674049,194791927.76374766,180691740.777098
0.2683404736945253,186571810.36134198,175923876.4873909
0.2783321972547041,178658997.66989422,171017861.43822926
0.2886959650999977,171042742.05004928,165996452.58327562
0.29944563039089966,163712682.4607516,160883832.6674931
0.3105955621137428,156658830.15663514,155704910.31953427
0.32216066428760176,149871554.8729995,150484635.5855546
0.3341563958863679,143341571.4808294,145247372.1939176
0.3465987915026294,137059927.0950792,140016357.96156982
0.35950448278097413,131017988.62020344,134813272.99057886
0.3728907206493686,125207430.71765004,129657923.56872962
0.38677539837832653,119620224.18076523,124568039.4808106
0.4011770754986913,114248624.70326534,119559174.66550104
0.4161150026100039,109085162.02813347,114644696.1296835
0.4316091471126156,104122629.46448295,109835843.59514147
0.44768021989794266,99354073.76059818,105141842.03873682
0.46434970303253836,94772785.32202074,100570050.50388134
0.4816398784729901,90372288.76418485,96126132.7201919
0.49957385785002084,86146333.78973095,91814237.66852687
0.5181756133616097,82088886.38122737,87637180.89282793
0.5374700098164258,78194120.30061433,83596619.83764233
0.5574828378704069,74456408.88724644,79693218.63954625
0.5782408485009096,70870317.14694725,75926799.56425165
0.5997717887645148,67430594.12500228,72296479.65853383
0.6221044388862818,64132165.55650037,68800792.21139659
0.6452686507300306,60970126.78788837,65437793.34344442
0.6692953877010759,57939735.96402291,62205154.52381483
0.6942167661347474,55036407.47539146,59100242.10458419
0.720066098226022,52255705.66051982,56120185.11138672
0.7468779365576533,49593338.75889219,53261932.576284155
0.7746881202863152,47045153.10997448,50522301.67683493
0.8035338230484973,44607127.59415118,47898017.878587075
0.8334536026501909,42275368.31155949,45385748.18528031
0.8644874526067796,40046103.49493031,42982128.49513045
0.8966768556020328,37915678.65262033,40683785.951859124
0.9300648389376556,35880551.93804617,38487357.07170069
0.9646960320475189,33937289.74170623,36389502.32624591
1.0006167261534444,32082562.50190142,34386917.76780565
1.0378749361422883,30313140.730142668,32476344.199980125
1.0765204647470314,28625891.24706179,30654574.32151464
1.1166049691176705,27017773.62442695,28918458.206024434
1.1581820298708931,25485836.8286064,27264907.423199445
1.2013072227108317,24027216.06052893,25690898.05791039
1.2460381927166346,22639129.786861137,24193472.84142447
1.2924347313961575,21318876.956764862,22769742.572893355
1.3405588566087603,20063834.39822081,21416886.978621896
1.390474895464055,18871454.387509964,20132155.130645975
1.4422495703074083,17739262.385043588,18912865.52419495
1.495952087907132,16664854.930330453,17756405.89510992
1.5516542319625826,15645897.688475018,16660232.84272836
1.6094304590568265,14680123.640221082,15621871.310689932
1.669357998182117,13765331.40719987,14638913.967189638
1.7315169539712356,12899383.703716544,13709020.51707868
1.7959904137726765,12080205.906124363,12829916.970618213
1.8628645587127948,11305784.73059648,11999394.887392117
1.9322287788933925,10574167.009919297,11215310.608685665
2.0041757928787027,9883458.559804333,10475584.487374337
2.078801771631511,9231823.125151956,9778200.120897964
2.1562064670640657,8617481.39670487,9121203.590106342
2.236493345375609,8038710.08860432,8502702.704551382
2.3197697253547664,7493841.067509012,7920866.2530853655
2.4061469218316685,6981260.524156692,7373923.25733286
2.4957403944715284,6499408.178539961,6860162.224674967
2.5886699021086006,6046776.5102285715,6377930.396764455
2.685059662826804,5621910.005797545,5925632.9892352205
2.7850385200009686,5223404.41580886,5501732.418137568
2.888740114520688,4849906.0143379355,5104747.508686846
2.9963030634269643,4500110.854629202,4733252.682125758
3.107871145200423,4172764.015098877,4385877.116840889
3.22359349194879,3866658.830570057,4061303.880316033
3.343624788750519,3580636.1043166216,3758269.0290257554
3.468125480421014,3313583.2971990863,3475560.673950306
3.597261985977857,3064433.6908880114,3212018.010008533
3.7312069210916996,2832165.5228802795,2966530.3083414882
3.8701393288201547,2615801.091711182,2738035.8710199175
4.014244918933137,2414405.831442407,2525520.9483799143
4.163716316149542,2227087.3551550787,2328018.619800631
4.318753317617061,2052994.4677904826,2144607.6393152378
4.479563159979335,1891316.1492528059,1974411.2479824175
4.6463607963874285,1741280.5092127402,1816595.9554333529
4.819369183825865,1602153.7155236974,1670370.2934426924
4.998819581137341,1473238.8985801062,1534983.5447469961
5.184951858144471,1353875.034307697,1409724.450648145
5.378014816281719,1243435.8087773563,1293919.9011907044
5.57826652116618,1141328.4676766,1186933.611891008
5.785974647551702,1046992.6540569573,1088164.791123126
6.001416837127444,959899.2379026719,997046.8023346917
6.224881069639169,879549.1411386501,913045.8252768461
6.456666047829338,805472.1617164721,835659.5203911318
6.697081596710509,737225.8003900298,764415.700406187
6.946449077705823,674394.0937210612,698871.013063421
7.205101818210069,616586.4567439855,638609.6387186947
7.4733855571455905,563436.5385735732,583242.0063615384
7.7516589071085855,514601.0940630581,532403.5313602298
8.040293833723489,469758.87441910297,485753.3779853509
8.339676152846279,428609.53945843043,442973.24949157983
8.650206046281271,390872.5939536685,403766.20825250924
8.972298596700712,356286.3502675067,367855.5281509631
9.306384342482275,324606.9192188726,334983.58113201486
9.65290985320607,295607.2308665156,304910.75953179586
10.012338326580373,269076.0866376967,277414.4355058226
