r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_10p000,delta_sigma_sidm_tier1_sigma_20p000,delta_sigma_sidm_tier1_sigma_50p000,delta_sigma_sidm_tier1_sigma_100p000,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_10p000,delta_sigma_sidm_tier2_sigma_20p000,delta_sigma_sidm_tier2_sigma_50p000,delta_sigma_sidm_tier2_sigma_100p000,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_10p000,delta_sigma_sidm_tier3_sigma_20p000,delta_sigma_sidm_tier3_sigma_50p000,delta_sigma_sidm_tier3_sigma_100p000
8.70157198512106,12226003.524571462,3694970.5549434396,3555457.4078608076,3469581.4011244783,3440586.0019061873,12231022.835923072,3914443.118718355,3774898.5158318174,3688885.250626411,3659818.108752053,12231022.835923072,3914486.756611607,3774943.8988421373,3688931.7466148087,3659864.98707487
10.592919980436148,10754713.893764343,3681792.000374894,3554750.8275796887,3476278.535310443,3449735.2036559074,10760555.951182775,3907465.1098571518,3781359.410153853,3703359.1650524368,3676952.4280621237,10760555.951182775,3907525.349548267,3781422.075026256,3703423.376806672,3677017.171745349
12.895365791812416,9333731.856715804,3573934.5842553885,3461400.5153021323,3391661.4369356968,3368032.4862185046,9340600.55454857,3798965.594026546,3688231.688725729,3619511.4182630493,3596210.279934113,9340600.55454857,3799043.884195491,3688313.134414046,3619594.8763399087,3596294.429308875
15.698264426783583,7996368.576007967,3385129.3064839947,3288000.9797407296,3227625.457465473,3207136.835085905,8004449.645723401,3603279.6698418874,3508649.4105360694,3449748.9903745465,3429745.8966833334,8004449.645723401,3603372.2476145043,3508745.689345421,3449847.6264827684,3429845.342745264
19.110392833500455,6765673.130944723,3133048.8306641593,3051234.4574805168,3000235.0927125737,2982902.826905612,6775056.221868769,3339056.7876647683,3260232.2177237463,3211033.3841623133,3194302.52585141,6775056.221868769,3339150.876286767,3260329.96745628,3211133.4581611594,3194403.3997021355
23.264171396400208,5655378.55702281,2837125.975706279,2769771.417947595,2727676.0238932776,2713350.4779711785,5665941.300069532,3026881.486400664,2962791.0061640814,2922688.152684127,2909033.529890034,5665941.300069532,3026952.4510118975,2962864.4876656346,2922763.2163831,2909109.1370073776
28.32080300371041,4672573.764898727,2517327.84299574,2463043.216229208,2429036.19330384,2417448.6199914054,4683766.027786628,2687814.3458926273,2636867.4228549413,2604916.56331751,2594025.763225792,4683766.027786628,2687823.475423658,2636876.2275802623,2604925.1180678164,2594034.2319016224
34.476529127492626,3815974.805794589,2190071.239359102,2147187.357493095,2120265.3120772084,2111080.977058457,3826841.356530274,2339216.6495783143,2299573.4306529188,2274662.657713761,2266163.713071357,3826841.356530274,2339113.248082518,2299464.652520944,2274550.3777244664,2266050.2270543682
41.97024570677324,3081546.7734708944,1870572.0974630604,1837315.8342475593,1816395.7600857283,1809252.1024555322,3090455.6291697323,1996902.6852692887,1966659.089344856,1947622.6390049735,1941121.5026087572,3090455.6291697323,1996635.0277875473,1966378.8708363005,1947334.3050035033,1940830.3678509847
51.09277439654571,2456783.460003767,1566514.3339286854,1541194.0914248421,1525241.50195901,1519787.7262569084,2462046.376210311,1669263.766214706,1646643.5674766593,1632386.5719480808,1627514.8417999705,2462046.376210311,1668806.5358732406,1646165.7003553656,1631895.4237012041,1627019.1062578214
62.19814898808264,1929985.7543288742,1284478.6443917034,1265556.1523182746,1253614.9129973876,1249529.5047597827,1930097.0047133707,1363671.9671797745,1347078.6845115232,1336605.4761554755,1333022.8171325054,1930097.0047133707,1363045.0995808614,1346424.2584871098,1335933.3150914009,1332344.5493720698
75.71735501224364,1494544.3065864884,1032659.3367541983,1018764.3096939293,1009985.9146597397,1006979.3474398741,1487831.9557279642,1088738.8990386848,1076796.177953285,1069258.3893504024,1066677.633507786,1487831.9557279642,1088008.5962313784,1076034.7441509229,1068477.043157952,1065889.3832645619
92.17505574239229,1120308.0739252598,798336.2569019588,788436.1905900482,782175.5885480295,780029.7048070001,1108998.145094336,834984.6922732437,826640.4319491475,821365.6550065211,819558.5052032256,1108998.145094336,834243.928181072,825868.7604439238,820574.1943083846,818760.1834158116
112.20995371192339,812578.1513655452,594308.3955179588,587472.6489217825,583144.9614597652,581660.6592449204,798311.1283281342,615319.5711307677,609670.213106317,606109.4909967846,604884.9602486802,798311.1283281342,614659.3584992895,608983.1139015852,605405.2074210057,604174.751028487
136.59957795112257,559931.3293449364,418180.9335619806,413671.6634572692,410817.9383242785,409837.74356013065,545958.044631395,428764.914314767,425108.3218175825,422801.4649374199,422006.5469246765,545958.044631395,428233.76975398057,424555.858161856,422235.3866726924,421435.78917094367
166.29045890464585,373790.85930070834,284584.4042834069,281707.68902298564,279883.0481274988,279256.7563254349,360454.41422838136,287771.53576333995,285480.06035206164,284038.56208554615,283541.52601604623,360454.41422838136,287370.34549575194,285063.1535366517,283611.64127627475,283111.1586942464
202.43486207997077,224738.85021096517,173236.32748647215,171558.7230900368,170496.63413966747,170131.30877371124,215753.572819925,174241.22174554382,172925.45064603223,172098.83149997008,171811.38106898137,215753.572819925,173945.32758765458,172617.7934561455,171783.7187856016,171493.71021368104
246.4355060132189,136256.4052153232,106937.80997229519,105967.3956120119,105351.15310612485,105139.68063352743,128520.26195067994,105304.759254106,104557.05260566359,104095.28550954562,103932.51128462766,128520.26195067994,105109.11539612885,104354.01579629288,103887.55453657104,103723.17381042356
300.0,72604.31822680414,57945.648571513986,57451.89144648042,57138.10056650536,57030.37590445549,67000.48071206007,55616.936386375746,55245.002443665784,55010.25549239394,54929.22817489441,67000.48071206007,55515.31022424902,55139.826097126126,54902.8575748103,54821.06880580709
