r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_0p050,delta_sigma_sidm_tier1_sigma_0p100,delta_sigma_sidm_tier1_sigma_0p200,delta_sigma_sidm_tier1_sigma_0p300,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_0p050,delta_sigma_sidm_tier2_sigma_0p100,delta_sigma_sidm_tier2_sigma_0p200,delta_sigma_sidm_tier2_sigma_0p300,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_0p050,delta_sigma_sidm_tier3_sigma_0p100,delta_sigma_sidm_tier3_sigma_0p200,delta_sigma_sidm_tier3_sigma_0p300
30.0,139441827.6989545,139442204.26922724,139442580.7967097,139443333.72337207,139444086.4790526,139447392.55181298,139447767.85340133,139448143.11236703,139448893.50249842,139449643.72231755,139447392.55181298,139447773.37729606,139448153.7187208,139448913.14420107,139449671.15155408
34.67485547281647,142110788.3501838,142111162.96870852,142111537.54989395,142112286.60030335,142113035.50150162,142117371.730047,142117744.72122338,142118117.6752258,142118863.47176418,142119609.11975104,142117371.730047,142117752.15666687,142118131.95243928,142118889.91317034,142119646.04668236
40.07818673535703,142819145.86617714,142819512.70445478,142819879.51000124,142820613.02294564,142821346.40508336,142826849.35420167,142827214.1690032,142827578.95124125,142828308.41807273,142829037.75476852,142826849.35420167,142827224.21457985,142827598.24134356,142828344.14671075,142829087.65586948
46.323511088701835,141913039.54327652,141913393.9303613,141913748.28863734,141914456.9187984,141915165.43381897,141922012.16103342,141922364.09207818,141922715.99448937,141923419.7134472,141924123.31796673,141922012.16103342,141922377.64629284,141922742.02340063,141923467.92785385,141924190.66272414
53.542035066471605,139657726.9298051,139658065.1773763,139658403.3995164,139659079.76753274,139659756.03390384,139668170.0411534,139668505.3679838,139668840.66957062,139669511.1970417,139670181.62361646,139668170.0411534,139668523.64379644,139668875.7668357,139669576.21305186,139670272.4411135
61.88541092167914,136260181.81804982,136260501.07899103,136260820.31745222,136261458.72696006,136262097.04661408,136272358.69930634,136272674.55022317,136272990.37886274,136273621.96933326,136274253.47075835,136272358.69930634,136272699.20305863,136273037.72386304,136273709.67741296,136274375.98996446
71.5289226528361,131877655.3068547,131877953.44719961,131878251.5676771,131878847.7490506,131879443.85100898,131891909.49446037,131892203.72073871,131892497.92736919,131893086.28170581,131893674.55750404,131891909.49446037,131892237.0484501,131892561.93314499,131893204.85729967,131893840.19867274
82.67516850377866,126653089.43660697,126653364.99537636,126653640.53661728,126654191.56653145,126654742.52637792,126669864.15693693,126670135.29557893,126670406.41693033,126670948.60777704,126671490.72950579,126669864.15693693,126670180.39622907,126670493.03262375,126671109.06968085,126671714.88181765
95.55831730197579,120715927.80363667,120716179.9377368,120716432.05641991,120716936.24754825,120717440.37704591,120735803.71813433,120736050.93884054,120736298.1443855,120736792.51000492,120737286.81501646,120735803.71813433,120736112.05347085,120736415.51178591,120737009.93082604,120737590.52032721
110.44902805571837,114191488.15622187,114191716.59228875,114191945.01485115,114192401.81947446,114192858.57011192,114215215.99280155,114215439.05115676,114215662.09628099,114216108.14684756,114216554.1445211,114215215.99280155,114215521.85767096,114215821.11196935,114216402.68691336,114216965.53250834
127.6601361648362,107205399.1635628,107205604.13733345,107205809.0993343,107206218.98803568,107206628.82968421,107233955.54909678,107234154.72630537,107234353.89203314,107234752.18905525,107235150.4401796,107233955.54909678,107234266.7255661,107234568.9433428,107235150.44150364,107235706.58512197
147.55322570519223,99874539.79843159,99874721.96725988,99874904.12588799,99875268.41255112,99875632.65843527,99909211.68954512,99909387.70364378,99909563.70784424,99909915.68655804,99910267.62570043,99909211.68954512,99909538.77093266,99909853.7241792,99910452.59929904,99911017.20019995
170.5462258625136,92323399.60741304,92323559.99531977,92323720.37444042,92324041.10632993,92324361.80309348,92365871.25923005,92366025.20866598,92366179.14962761,92366487.00613476,92366794.82876298,92365871.25923005,92366227.96607548,92366568.30424489,92367207.13774365,92367799.80476578
197.12219110723245,84673806.93319607,84673946.85439685,84674086.76807794,84674366.57288587,84674646.34762989,84726298.72051676,84726432.00486991,84726565.28202157,84726831.81472448,84727098.3186354,84726298.72051676,84726701.98752658,84727083.28819323,84727789.80719069,84728434.53650667
227.8394495709398,77045233.82448111,77045354.8084433,77045475.78601097,77045717.72196735,77045959.63235824,77110629.5585837,77110743.80011894,77110858.03558007,77111086.48828351,77111314.91670215,77110629.5585837,77111098.99014296,77111539.21875472,77112345.2403963,77113069.40434141
263.3433328292801,69550930.70676176,69551034.42255932,69551138.13295425,69551345.53753965,69551552.92052485,69632898.65721834,69632995.6210903,69633092.57987782,69633286.48220326,69633480.36420137,69632898.65721834,69633454.67941055,69633972.43853068,69634910.63629255,69635742.06871754
