M200,m200_msun,z,c200,weight
92888992575544.72,92888992575544.72,0.1,4.095733809330704,0.0025
47326524464947.52,47326524464947.52,0.1,5.693709742401736,0.0025
76388046545808.44,76388046545808.44,0.1,4.096242390850616,0.0025
61140296872664.695,61140296872664.695,0.1,3.3339801715525232,0.0025
44061066325850.734,44061066325850.734,0.1,5.789473622835202,0.0025
90454871404917.98,90454871404917.98,0.1,3.820769342411698,0.0025
84611879054229.45,84611879054229.45,0.1,2.8026626096196767,0.0025
47572107838937.5,47572107838937.5,0.1,2.2486702083019576,0.0025
96525385428304.9,96525385428304.9,0.1,5.947547857301525,0.0025
40793654394639.48,40793654394639.48,0.1,2.842349433704201,0.0025
78296734785864.22,78296734785864.22,0.1,2.5321728679316045,0.0025
67673578010550.92,67673578010550.92,0.1,3.641410503077878,0.0025
53501136589741.01,53501136589741.01,0.1,5.628422602556232,0.0025
32776933797696.055,32776933797696.055,0.1,2.1097817116058044,0.0025
87329628331441.06,87329628331441.06,0.1,5.176409260561673,0.0025
59944628527622.99,59944628527622.99,0.1,4.826497194884086,0.0025
48957766728001.3,48957766728001.3,0.1,2.5215158272686073,0.0025
47080922484924.22,47080922484924.22,0.1,2.611515760980494,0.0025
65475775936776.21,65475775936776.21,0.1,3.7889133276808487,0.0025
46687315625453.664,46687315625453.664,0.1,9.34018058910881,0.0025
55701915963816.93,55701915963816.93,0.1,3.7211340360267497,0.0025
47928194580667.96,47928194580667.96,0.1,6.558263489154721,0.0025
33712381115534.33,33712381115534.33,0.1,6.3681205523099775,0.0025
41978812886229.555,41978812886229.555,0.1,2.189864216473606,0.0025
81721924201380.58,81721924201380.58,0.1,3.995725341107732,0.0025
79496322853624.75,79496322853624.75,0.1,6.032676939323701,0.0025
66631144517320.16,66631144517320.16,0.1,3.3099306591738267,0.0025
53473264539484.3,53473264539484.3,0.1,6.874891024842389,0.0025
96106277114470.8,96106277114470.8,0.1,2.5233304134299583,0.0025
81652111876885.81,81652111876885.81,0.1,2.1747718977094275,0.0025
41731758011497.29,41731758011497.29,0.1,3.5274600068617117,0.0025
