r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_msun_kpc2
30.0,189983882.09848928,101310879.90318418
33.76006747802295,190276127.8039341,116162215.49522114
37.9914052040221,189833458.49749613,130012507.19893622
42.75308010908995,188715838.3804717,142171100.10476756
48.111562312539895,186963158.45870697,152213710.8048073
54.1416530048151,184604884.57664406,159959661.71620488
60.92752862714207,181658992.59242755,165412091.35415006
68.56391592404971,178134742.41911852,168686027.98950863
77.15741427178035,174042615.23380113,169965168.7948156
86.82798374150249,169389287.1223426,169449667.41390425
97.71061966979347,164195723.5449379,167353776.56215763
109.95723711238882,158476980.1309346,163869653.62010837
123.73879148704049,152265121.9091043,159187681.59912884
139.24766500838336,145598347.9685413,153482777.9679534
156.7003522280052,138526207.71334463,146921421.61452147
176.34048216824743,131108531.6873405,139662450.22622734
198.44221923690444,123416995.86652061,131860996.70369285
223.3140903975505,115528314.9118548,123663369.69488198
251.30329202048756,107525658.29275765,115210618.15417185
282.80053653536544,99495617.09913981,106637004.01977265
318.2455065418346,91525127.23537615,98068208.94057149
358.13299251433085,83696908.12414536,89617805.99269113
403.01979977966977,76088102.41525194,81386982.50070274
453.5325211846986,68767751.6578491,73462903.23202695
510.37628395577696,61794798.67011781,65917548.15347223
574.3445928509875,55216073.05735478,58806479.91793629
646.330407009565,49066599.23264417,52169936.35896742
727.338605124698,43369481.273698315,46033407.31393784
818.5000129460303,38136405.73971583,40408772.53383456
921.0871889273553,33368451.37713169,35295676.53636548
1036.5321883776658,29057774.480129126,30683703.648279972
1166.4465540924261,25189059.184769254,26554231.49025457
1312.6438125222544,21741047.207241543,22882286.902876124
1477.1647895120216,18688049.816385508,19638311.919130202
1662.3060990028482,16001499.878814725,16789902.92230265
1870.6522023821744,13651211.643049898,14303202.550875863
2105.1114860111475,11606461.103600305,12144066.959897354
2368.9568605499157,9836902.995844364,10279033.491163528
2665.8714488230207,8313343.635389227,8676116.383809248
3000.0,7008355.428901125,7305425.750961286
