r_kpc,rho_cdm_msun_kpc3,rho_sidm_sigma_0p500,rho_sidm_sigma_1p000,rho_sidm_sigma_3p000,rho_sidm_sigma_10p000
0.37071286424358724,16097899.73745236,3218321.400942933,1998783.2174704433,1155101.387583107,870465.0399732074
0.3852778649577804,17048523.39855489,3438579.101635146,2139897.298664525,1239144.130213337,934650.7543788018
0.4004151124598946,17682276.076786447,3617283.6663993616,2257621.7499559857,1310953.6840021545,990033.3307305542
0.41614708985121596,18626097.6189105,3842829.2692304417,2403294.7560539115,1398420.760203029,1057082.9808329607
0.4324971635754169,19093583.03667564,4001338.2304740376,2510537.715972653,1465386.469321533,1109236.9261212791
0.4494896181243458,19953618.87998766,4217204.180363379,2651730.768446747,1551229.6312347837,1175412.4642908708
0.46714969210737795,20194023.856085967,4346145.803859172,2742953.273882001,1610315.1206447764,1222108.1484913812
0.48550361573790035,20532567.417242743,4488527.874120094,2842398.4016268277,1674208.8860264742,1272476.338888554
0.5045786497926114,20849382.19446202,4627393.992153476,2940193.5890849293,1737538.5416264734,1322572.8956462431
0.5244031261014966,21847118.436900266,4861730.63312732,3093790.0083179846,1831491.8975413702,1395279.5960432424
0.5450064896286243,22260295.547688205,5017185.981990157,3202270.9032635745,1901413.9459418627,1450537.9348771193
0.5664193422062594,22178900.588943616,5099678.716653503,3268492.9444129444,1948591.1823816989,1489214.7775393708
0.5886734879872543,22591317.714984745,5251101.432528835,3375027.795406888,2017944.8419896043,1544295.1713848724
0.6118019806832269,22518822.897534367,5330961.204007582,3440051.0228734366,2064923.9648817163,1583055.6706947288
0.6358391726586874,22128849.879053757,5360802.393021207,3475849.936680448,2096093.447430629,1610280.9739468726
0.6608207659540324,21723014.972631883,5382712.715676689,3506769.6871804176,2124624.0226527136,1635619.559796528
0.68678386531319,21627435.62572509,5442480.676320349,3559321.986507375,2164869.6505860696,1669589.7090189732
0.7137670332946768,21579579.399362728,5504979.318379114,3613209.36765099,2205843.3244101945,1704138.564326224
0.7418103475479246,21223633.654060803,5520017.894745299,3639238.6826143656,2231659.3566224277,1727598.78264652
0.7709554603399423,20841974.708187837,5525353.581896906,3659110.2201914196,2253988.8466354827,1748498.6095796293
0.8012456604207361,20426351.733071085,5520317.484833758,3672414.866930943,2272586.8435230553,1766648.9555540206
0.8327259373193656,19952966.488062624,5500576.002484108,3676498.1259854916,2285935.117330736,1780910.340093663
0.8654430481661426,19611388.090729304,5493536.533698211,3687273.2171647,2302660.0635109586,1797604.5752332434
0.899445587140217,19162987.137895938,5465897.121618298,3685376.5112874494,2312218.7278906615,1808984.1228363689
0.9347840576456997,18657609.182373196,5424454.537331619,3674683.5306385676,2316667.810184829,1816540.2917425807
0.971510947323528,18039421.54815231,5360685.174923311,3650138.444588765,2313195.9930053973,1818186.650645824
1.009680806010482,17579694.72014746,5312564.790610122,3633717.4692484275,2313686.060985286,1822622.5921025875
1.049350326761148,17018199.408360045,5245161.879250827,3605235.626271016,2307204.1799393245,1821828.9554611226
1.0905784300531667,16365973.647217013,5158850.13617478,3564768.5646194606,2293708.768008684,1815745.9092643468
1.1334263513008382,15669113.346326359,5059983.801718992,3515951.1869606483,2275131.080422616,1805772.923589796
1.1779577318070587,15255998.962216353,4995457.351644832,3486022.665872787,2266250.0675503598,1802744.9861766384
1.2242387132886878,14625918.768376453,4895368.718192752,3434417.9382958952,2245030.0805209144,1790486.0278057894
1.2723380361157377,14046702.567615125,4797103.41505204,3382787.114781217,2223185.3851398285,1777573.6113110052
1.3223271414102975,13403500.391504075,4684971.964153721,3322029.184603357,2195760.095832619,1760361.773490017
1.3742802771568434,13020263.138415786,4604843.955935309,3278778.5030935155,2177201.951886622,1749441.2649749168
1.4282746084815279,12408576.28043884,4488920.8887108285,3213739.960228051,2146190.4344488513,1729168.5880210972
1.4843903322642567,11827007.999902207,4372562.34884564,3147340.7270537186,2113755.9693225804,1707613.595274691
1.5427107962537776,11250461.392838998,4252665.266216396,3077804.8564975485,2078932.2132041708,1684061.4542082364
1.6033226228627002,10681993.515827939,4130053.806786711,3005636.6778484955,2041992.46614805,1658707.6707000064
1.6663158378263248,10142897.869599698,4007892.637106601,2932683.851433231,2003932.546282208,1632275.6941043711
1.73178400391636,9585788.224830586,3879953.8972810702,2855370.585562316,1962819.2300529184,1603345.1230469756
1.7998243599081505,9055514.82313913,3752656.501252128,2777434.5339034614,1920676.9585393746,1573395.295783068
1.8705379650078093,8612083.346046895,3635064.247340051,2704199.8940028916,1880417.559562044,1544564.8819227056
1.9440298489537682,8213966.617422219,3522092.6649153084,2632795.3297064304,1840513.2857157714,1515738.777876816
2.020409168015702,7751609.651597544,3398048.1121575935,2554105.649919672,1796008.0311911674,1483275.372286144
2.0997893671225105,7312164.645417804,3275421.6481147227,2475419.23630314,1750871.5713291403,1450087.8126324625
2.18228834836018,6894651.086966377,3154376.6295619225,2396878.0817446345,1705200.0267641053,1416249.5682114349
2.2680286460897894,6514942.583642351,3037538.7368663936,2320068.2678031796,1659883.6056646232,1382420.7313204028
2.357137608945748,6137885.69161951,2920165.6036549853,2242279.6674365997,1613470.211936552,1347539.6813247183
2.4497475889846054,5780085.203138539,2804821.4206982087,2165049.7304559182,1566818.7465508678,1312242.3906658639
2.545996138265347,5440720.778207487,2691645.8330654125,2088514.0325499582,1520031.4638562188,1276611.6373874997
2.6460262131531764,5118977.223161753,2580749.4427228225,2012788.440219717,1473199.3272091914,1240722.0448379102
2.7499863866502214,4814064.273988324,2472230.656793346,1937981.8527579308,1426410.6479810572,1204647.0061082214
2.8580310690685335,4525247.227412766,2366194.8271752256,1864209.2426672233,1379759.4121097114,1168465.2808564163
2.9703207373731573,4251796.6608374985,2262722.0476025343,1791569.1498007462,1333331.2984701148,1132250.329279175
3.087022173535879,3993005.070841254,2161877.0248606023,1720148.6421353053,1287204.5709717718,1096069.8380913509
3.208308712253716,3748215.6567568383,2063732.9180746449,1650042.1950529742,1241464.315695042,1059997.9283361528
3.33436049840005,3516772.650112948,1968334.325470045,1581323.030491283,1196182.152967865,1024098.5277717656
3.4653647545907993,3298049.6842822763,1875719.6727604358,1514060.255595697,1151428.0709175544,988434.9141317796
3.601516059263059,3091458.3539932147,1785929.9446269055,1448325.773761352,1107275.6428423764,953074.2078698365
3.7430166356791954,2896414.6894857627,1698981.8794380734,1384172.1623252288,1063785.071782602,918072.8675862931
3.8900766522856935,2712365.420568119,1614888.951223139,1321648.8511921652,1021014.5570715448,883485.9686960374
4.042914534872841,2538780.040519228,1533657.6272915436,1260800.0491112557,979019.6553374606,849367.0770478342
4.201757290998921,2375140.0935420925,1455279.6391327092,1201657.8389904182,937847.5688999052,815763.2430197684
