r_kpc,rho_cdm_msun_kpc3,rho_sidm_msun_kpc3
5.0,40223473.604076706,6490962.870535032
5.16022495246393,38918107.51633475,6480727.274379995
5.325584312006275,37653397.45088388,6470181.13539935
5.496242610653047,36428084.64206358,6459315.054712477
5.672369652857469,35240949.500946194,6448119.295686022
5.854140684454854,34090810.400471166,6436583.761777265
6.041736567031642,32976522.49827482,6424697.971844694
6.2353439578820895,31896976.59604091,6412451.032599969
6.435155495731672,30851098.03423267,6399831.607835901
6.641369992411992,29837845.621102832,6386827.88402142
6.85419263067791,28856210.59491186,6373427.5318063265
7.073835168363709,27905215.618317287,6359617.662925955
7.300516149081458,26983913.803929195,6345384.781938155
7.534461119671204,26091387.770057652,6330714.732162583
7.775902854619335,25226748.725707885,6315592.635124701
8.02508158766844,24389135.583907824,6300002.82273475
8.282245250849106,23577714.102480736,6283928.76135528
8.547649721171487,22791676.051402956,6267352.966830791
8.821559075222094,22030238.405913077,6250256.909470128
9.104245851919137,21292642.564564213,6232620.907888872
9.395991323687872,20578153.591435976,6214424.010536825
9.697085776325748,19886059.481746633,6195643.863658403
10.00782879783584,19215670.450129103,6176256.564365484
10.32852957651592,18566318.24085705,6156236.497448983
10.659507208599829,17937355.459328946,6135556.154524655
11.001091015757195,17328154.924139265,6114185.934110182
11.35362087276741,16738109.039086565,6092093.921277055
11.717447545693942,16166629.184487684,6069245.64562807
12.092933040895424,15613145.12718703,6045603.816539219
12.480450965220811,15077104.448668165,6021128.034897766
12.880386897746996,14557971.990693487,5995774.480996919
13.293138773428707,14055229.317915022,5969495.57884708
13.719117279042509,13568374.19691655,5942239.637977985
14.158746261818845,13096920.091163993,5913950.474884663
14.612463151168603,12640395.671356913,5884567.017670256
15.080719393923989,12198344.340689823,5854022.899223742
15.563980903526659,11770323.774546938,5822246.046507695
16.062728523610076,11355905.474169225,5789158.276288025
16.57745850643736,10954674.333846625,5754674.910976929
17.10868300667069,10566228.22120253,5718704.432228983
17.656930590963547,10190177.570151294,5681148.19454915
18.22274676388276,9826144.98612278,5641900.226414229
18.806694510683833,9473764.863160962,5600847.152182931
19.40935485747943,9132683.012516292,5557868.2741822675
20.03132744935847,8802556.30236401,5512835.860488691
20.67323114703105,8483052.308292495,5465615.689583793
21.33570464259282,8173848.974217735,5416067.90757118
22.019407095021588,7874634.283391555,5364048.25608723
22.725018786038344,7585105.939182557,5309409.728296495
23.45324179698533,7304971.055319889,5252004.70512029
24.204800707394742,7033945.855300799,5191687.612697565
24.98044331594299,6771755.380673727,5128318.123678819
25.780941384507965,6518133.207919143,5061764.898271725
26.607091406069603,6272821.173660701,4991909.825581089
27.45971539721778,6035569.107949402,4918652.682299643
28.339661716056224,5806134.575373425,4841916.076149858
29.247805906316025,5584282.623756243,4761650.489212436
30.185051568518777,5369785.5402151,4677839.186638588
31.152331259056222,5162422.6143615665,4590502.715855907
32.1506074180808,4961979.908435202,4499702.697561366
33.180873327130506,4768250.03417055,4405544.609452843
34.24415409744074,4581031.936206684,4308179.291875763
35.341507689926715,4400130.681857428,4207802.9632199155
36.474025967851134,4225357.257069026,4104655.619562485
37.642835783224555,4056528.368400628,3999017.8006287334
38.8491000980195,3893466.2508711596,3891205.821495325
40.09401914131383,3735998.481524376,3781565.682988052
41.37883160351482,3583957.798571747,3670465.969635946
42.70481586885205,3437181.92598053,3558290.110829592
44.0732912873656,3295513.4033818045,3445428.4113154933
45.48561948765501,3158799.4211803856,3332270.2496186453
46.94320573169537,3026891.660755444,3219196.801120347
48.44750031306846,2899646.1396472277,3106574.5743398867
49.99999999999999,2776923.061631468,2994749.9649895704
51.602249524639305,2658586.671588987,2884044.943586586
53.25584312006275,2544505.115083491,2774753.9085293342
54.96242610653047,2434550.3025656478,2667141.6648373306
56.723696528574706,2328597.778126197,2561442.4335119096
58.54140684454851,2226526.592725064,2457859.7591519253
60.41736567031639,2128219.1818271587,2356567.1631948166
62.35343957882087,2033561.247378858,2257709.3845159886
64.3515549573167,1942441.6440617486,2161404.05485206
66.41369992411992,1854752.269762534,2067743.6701704455
68.5419263067791,1770387.960199555,1976797.7375045833
