r_kpc,rho_cdm_msun_kpc3,rho_sidm_msun_kpc3
6.001416837127444,959899.2379026719,1019344.3943306102
6.224881069639169,879549.1411386501,932704.0595973819
6.456666047829338,805472.1617164721,852966.4150805427
6.697081596710509,737225.8003900298,779630.699070138
6.946449077705823,674394.0937210612,712227.4781228834
7.205101818210069,616586.4567439855,650317.1679954423
7.4733855571455905,563436.5385735732,593488.5806109007
7.7516589071085855,514601.0940630581,541357.5006685541
8.040293833723489,469758.87441910297,493565.29514171334
8.339676152846279,428609.53945843043,449777.5585391006
8.650206046281271,390872.5939536685,409682.7964365384
8.972298596700712,356286.3502675067,372991.1494207077
9.306384342482275,324606.9192188726,339433.1592293196
9.65290985320607,295607.2308665156,308758.5785253242
10.012338326580373,269076.0866376967,280735.2254095996
10.385150207594119,244817.24397583696,255147.88345932614
10.771843830723592,222648.53443392817,231797.24778007215
11.17293608605192,202401.01590256937,210498.91728000055
11.588963110191647,183918.15943486465,191082.433115866
12.020481002933986,167055.07091667873,173390.36302334888
12.468066570582737,151677.74763127315,157277.43102926944
12.932318096966295,137662.36958308693,142609.69185046395
13.413856143158625,124894.62527700527,129263.74911337091
13.913324376977963,113269.07149728721,117126.01637930684
14.431390433372117,102688.5264944204,106092.01983226342
14.968746806840436,93063.49586844775,96065.7413780339
15.526111777085369,84311.63033339007,86959.00081454264
16.10423036913077,76357.21445877355,78690.87566228898
16.70387534919058,69130.6854102819,71187.1571895904
17.32584825761883,62568.18065144804,64379.8411285712
17.970980480321867,56611.113521193554,58206.65155324649
18.640134360064778,51205.77556701726,52610.59637929987
19.33420434915774,46302.96448975342,47539.55294491652
20.054118205062714,41857.63654209938,42945.88214204223
20.80083823051904,37828.582218548974,38786.06958642584
21.575362559845313,34178.12407801106,35020.39234160285
22.378726493137076,30871.83555127509,31612.60974543663
23.212003880143616,27878.279602704562,28529.676926908778
24.076308555673922,25168.766138214363,25741.47964454161
24.97279582845007,22717.127078904177,23220.589125244343
25.90266402539867,20499.508050893655,20942.03563265482
26.867156093444294,18494.175676235256,18883.099546459056
27.867561260946047,16681.33948659863,17023.11878802185
28.90521676099817,15042.98752013341,15343.311482354164
29.981509618898258,13562.734701982814,13826.612801443081
31.097878506172037,12225.683149854434,12457.524988811183
32.2558156636335,11018.29358742511,11221.97961945084
33.45686889605049,9928.267089791196,10107.211202656339
34.702643641082155,8944.43642634033,9101.641287459555
35.99480511525402,8056.666307038289,8194.77228112868
37.3350805398385,7255.761877954971,7377.090240321426
38.72526144961712,6533.384850696008,6639.975941840531
40.16720608760977,5881.97668810223,5975.623585410503
41.66284188897237,5294.688304993641,5376.966524394171
43.214168057383084,4765.315777770495,4837.609461846408
44.82325823736101,4288.241590265581,4351.76658873091
46.492263286089,3858.3809753187115,3914.205178499657
48.223414148446345,3471.132942085319,3520.194187564581
50.01902483909382,3122.33560808418,3165.4574445077283
51.881495535597416,2808.225482436057,2846.1310422188876
53.81331578672529,2525.400372661106,2558.724576572106
55.81706784020667,2270.785611814544,2300.08590281424
57.89543009440014,2041.6033256824346,2067.3691066078254
60.051180678486226,1835.3444812743287,1858.0054107183587
62.287201165969,1649.7434779862594,1669.676760739606
64.60648042645096,1482.7550616175208,1500.2918540866992
67.01211862082953,1332.533358964505,1347.9643958356505
69.50733134525615,1197.4128470421551,1210.9933829285178
72.09545392939589,1075.8910861580102,1087.8452348751885
74.77994589473461,966.6130601447609,977.1376044428894
77.56439557889185,868.3569801052028,877.6247160098795
80.45252493212128,780.0214200969069,788.1840923435805
83.44819449240997,700.6136643414345,707.8045426176656
86.55540854582696,629.2391558408293,635.5752955757747
89.7783204790181,565.0919457775099,570.6761719475909
93.12123833100296,507.4460518152619,512.3686995885257
96.5886305516939,455.64764145986175,459.9880834071635
100.18513197483522,409.10796402622316,412.93595002108896
103.91555001334592,367.29696154124406,370.6737942953239
107.7848710853482,329.7374951314635,332.71706151841283
111.79826727946951,296.0001291437965,298.6298050064766
115.96110326833006,265.6984204649217,268.01986443936033
120.27894347945491,238.4846652773357,240.53451526680772
124.75755953319702,214.04605985194317,215.8565441147527
129.40293795761357,192.10123596073277,193.70070930833705
134.22128819060654,172.3971351287037,173.81054944242226
139.21905088002603,154.7061892598128,155.9555064030899
144.4029064928295,138.82377819352428,139.92833240363055
149.77978424480517,124.56593750075773,125.54275347223977
155.356871362796,111.76729233319686,112.63136444060592
161.14162269180508,100.27919541885066,101.04373285533678
167.141770659823,89.96804936871553,90.644691388553
