r_projected_kpc,delta_sigma_cdm_tier1_msun_kpc2,delta_sigma_sidm_tier1_sigma_10p000,delta_sigma_sidm_tier1_sigma_20p000,delta_sigma_sidm_tier1_sigma_50p000,delta_sigma_sidm_tier1_sigma_100p000,delta_sigma_cdm_tier2_msun_kpc2,delta_sigma_sidm_tier2_sigma_10p000,delta_sigma_sidm_tier2_sigma_20p000,delta_sigma_sidm_tier2_sigma_50p000,delta_sigma_sidm_tier2_sigma_100p000,delta_sigma_cdm_tier3_msun_kpc2,delta_sigma_sidm_tier3_sigma_10p000,delta_sigma_sidm_tier3_sigma_20p000,delta_sigma_sidm_tier3_sigma_50p000,delta_sigma_sidm_tier3_sigma_100p000
1.0,3496468.130174644,3358087.0949419052,2914502.5367206214,2380362.282050836,2235039.0803893115,3496784.499570868,3361211.245129922,2924386.695233975,2396639.210854766,2250833.5558804874,3496784.499570868,3361211.4894936974,2924386.950082231,2396639.4704578836,2250833.8150969953
1.2173570475023514,7450927.205882682,7266463.915911679,6363210.484586901,5091045.852911838,4575766.273537222,7451670.366671582,7270436.208175515,6381036.671600734,5125855.137800033,4613234.094174674,7451670.366671582,7270436.820484556,6381037.31095146,5125855.790457613,4613234.746951707
1.4819581811036422,11693563.9985891,11738790.328342658,10537344.19613871,8562203.011888081,7542203.705398776,11694807.249039378,11738074.63664479,10555611.756059894,8610452.607999621,7600707.842251625,11694807.249039378,11738075.81841392,10555612.990687499,8610453.869487537,7600709.104913604
1.804072235870285,14992282.686904458,15444209.456919936,14233523.646542925,11863238.443460444,10321027.321584472,14994048.288266283,15434488.9872924,14243391.5003099,11913127.827952193,10392294.061129037,14994048.288266283,15434491.02083485,14243393.626027767,11913130.001921972,10392296.238675047
2.196200050540016,17279425.693433776,18160283.314621612,17155204.98225877,14794716.298181038,12917718.00473458,17281680.78366408,18139520.849406306,17150364.68760253,14832761.701078031,12987823.795440394,17281680.78366408,18139524.101154674,17150368.087747768,14832765.180259224,12987827.282070868
2.6735596092499083,18014974.335433554,19200438.896140117,18527986.365680266,16601292.213913573,14772253.895569311,18017618.91671197,19169063.42376323,18505999.623171438,16616053.99157361,14823673.787849216,18017618.91671197,19169068.4102392,18506004.837698072,16616059.328366907,14823679.137285404
3.2546766322380094,17547579.290118795,18870278.707881264,18505982.242577635,17159769.841437057,15670083.11475486,17550529.547375455,18830406.878920574,18468780.10959091,17148238.334582984,15692089.457234338,17550529.547375455,18830414.398227315,18468787.972465556,17148246.381475423,15692097.523220442
3.962103535596159,16369144.665927963,17679429.64831329,17530191.373629447,16684196.436875317,15612429.64789451,16372395.56576899,17633881.19942803,17481965.237844534,16650449.673403094,15604500.21794277,16372395.56576899,17633892.50034243,17481977.053770073,16650461.764042923,15604512.335940745
4.823294661991968,14982459.365779575,16202393.985604865,16183732.02942179,15688249.74392054,14964795.123856353,14986052.47149845,16153644.882647743,16128580.252652857,15638673.373616943,14932686.962646611,14986052.47149845,16153661.8358598,16128597.975040277,15638691.503217062,14932705.12937911
5.871671748956393,13488760.96330996,14575241.650683885,14627811.23419642,14359789.892472684,13891539.895412188,13492772.080380162,14525543.775948096,14569402.197686274,14300687.984581212,13842862.517986571,13492772.080380162,14525569.106324887,14569428.670487562,14300715.056752468,13842889.638255784
7.147920984212522,11954707.63959413,12889586.687654449,12974633.152805425,12845371.41827828,12550406.12507282,11959251.099019455,12840940.741954718,12916116.965083163,12782263.28351305,12492633.0514943,11959251.099019455,12840978.295138903,12916156.199234858,12782303.39079686,12492673.218250196
8.70157198512106,10435949.23188546,11218061.543744214,11311873.651368009,11261840.95651579,11078546.242924793,10441188.50789496,11172192.43646868,11255858.556718951,11199223.67600144,11018050.874212045,10441188.50789496,11172247.332558481,11255915.888154862,11199282.260630911,11018109.529887708
10.592919980436148,8977225.90424666,9616086.37938488,9705320.440045996,9696783.413077071,9582754.388561971,8983386.861861207,9574439.281068157,9653895.350236021,9638133.146773832,9524516.557536837,8983386.861861207,9574517.675716966,9653977.185896037,9638216.740339777,9524600.235328985
12.895365791812416,7612984.421234492,8124110.305484336,8202240.093382046,8212603.370841283,8140329.58917323,7620358.016851939,8087843.710056489,8156997.540614521,8160448.465632014,8087943.526664783,7620358.016851939,8087951.310436051,8157109.802401296,8160563.10155221,8088058.267626563
