r_kpc,rho_cdm_msun_kpc3,rho_sidm_msun_kpc3
0.1,563238197.0641061,563238197.0641061
0.10372352460387815,541564288.9601161,541564288.9601161
0.1075856955625132,520674386.94819796,520674386.94819796
0.11159167540703682,500540533.4982702,500540533.4982702
0.11574681889669769,481135779.35067004,481135779.35067004
0.12005668017652252,462434147.3438657,462434147.3438657
0.12452702020149467,444410597.53305763,444410597.53305763
0.12916381443717365,427040993.5526769,427040993.5526769
0.13397326084704933,410302070.1774444,410302070.1774444
0.13896178817730712,394171402.03825974,394171402.03825974
0.14413606455007819,378627373.45072734,378627373.45072734
0.14950300637666206,363649149.31562227,363649149.31562227
0.15506978760263462,349216647.0520348,349216647.0520348
0.16084384929720033,335310509.5253211,335310509.5253211
0.16683290959960628,321912078.9333279,321912078.9333279
0.17304497403591348,309003371.6156552,309003371.6156552
0.17948834621991527,296567053.75197524,296567053.75197524
0.18617163895250782,284586417.9166324,284586417.9166324
0.19310378573434772,273045360.4579259,273045360.4579259
0.2002940527071863,261928359.67160457,261928359.67160457
0.20775205103984307,251220454.7392101,251220454.7392101
0.2154877497753732,240907225.40296203,240907225.40296203
0.2235114891566026,230974772.34991747,230974772.34991747
0.23183399444784317,221409698.27913713,221409698.27913713
0.24046639027126218,212199089.62656713,212199089.62656713
0.2494202154770703,203330498.9232936,203330498.9232936
0.2587074385674049,194791927.76374766,194791927.76374766
0.2683404736945253,186571810.36134198,186571810.36134198
0.2783321972547041,178658997.66989422,178658997.66989422
0.2886959650999977,171042742.05004928,171042742.05004928
0.29944563039089966,163712682.4607516,163712682.4607516
0.3105955621137428,156658830.15663514,156658830.15663514
0.32216066428760176,149871554.8729995,149871554.8729995
0.3341563958863679,143341571.4808294,143341571.4808294
0.3465987915026294,137059927.0950792,137059927.0950792
0.35950448278097413,131017988.62020344,131017988.62020344
0.3728907206493686,125207430.71765004,125207430.71765004
0.38677539837832653,119620224.18076523,119620224.18076523
0.4011770754986913,114248624.70326534,114248624.70326534
0.4161150026100039,109085162.02813347,109085162.02813347
0.4316091471126156,104122629.46448295,104122629.46448295
0.44768021989794266,99354073.76059818,99354073.76059818
0.46434970303253836,94772785.32202074,94772785.32202074
0.4816398784729901,90372288.76418485,90372288.76418485
0.49957385785002084,86146333.78973095,86146333.78973095
0.5181756133616097,82088886.38122737,82088886.38122737
0.5374700098164258,78194120.30061433,78194120.30061433
0.5574828378704069,74456408.88724644,74456408.88724644
0.5782408485009096,70870317.14694725,70870317.14694725
0.5997717887645148,67430594.12500228,67430594.12500228
0.6221044388862818,64132165.55650037,64132165.55650037
0.6452686507300306,60970126.78788837,60970126.78788837
0.6692953877010759,57939735.96402291,57939735.96402291
0.6942167661347474,55036407.47539146,55036407.47539146
0.720066098226022,52255705.66051982,52255705.66051982
0.7468779365576533,49593338.75889219,49593338.75889219
0.7746881202863152,47045153.10997448,47045153.10997448
0.8035338230484973,44607127.59415118,44607127.59415118
0.8334536026501909,42275368.31155949,42275368.31155949
0.8644874526067796,40046103.49493031,40046103.49493031
0.8966768556020328,37915678.65262033,37915678.65262033
0.9300648389376556,35880551.93804617,35880551.93804617
0.9646960320475189,33937289.74170623,33937289.74170623
1.0006167261534444,32082562.50190142,32082562.50190142
1.0378749361422883,30313140.730142668,30313140.730142668
1.0765204647470314,28625891.24706179,28625891.24706179
1.1166049691176705,27017773.62442695,27017773.62442695
1.1581820298708931,25485836.8286064,25485836.8286064
1.2013072227108317,24027216.06052893,24027216.06052893
1.2460381927166346,22639129.786861137,22639129.786861137
1.2924347313961575,21318876.956764862,21318876.956764862
1.3405588566087603,20063834.39822081,20063834.39822081
1.390474895464055,18871454.387509964,18871454.387509964
1.4422495703074083,17739262.385043588,17739262.385043588
1.495952087907132,16664854.930330453,16664854.930330453
1.5516542319625826,15645897.688475018,15645897.688475018
1.6094304590568265,14680123.640221082,14680123.640221082
1.669357998182117,13765331.40719987,13765331.40719987
1.7315169539712356,12899383.703716544,12899383.703716544
1.7959904137726765,12080205.906124363,12080205.906124363
1.8628645587127948,11305784.73059648,11305784.73059648
1.9322287788933925,10574167.009919297,10574167.009919297
2.0041757928787027,9883458.559804333,9883458.559804333
2.078801771631511,9231823.125151956,9231823.125151956
2.1562064670640657,8617481.39670487,8617481.39670487
2.236493345375609,8038710.08860432,8038710.08860432
2.3197697253547664,7493841.067509012,7493841.067509012
2.4061469218316685,6981260.524156692,6981260.524156692
2.4957403944715284,6499408.178539961,6499408.178539961
2.5886699021086006,6046776.5102285715,6046776.5102285715
2.685059662826804,5621910.005797545,5621910.005797545
2.7850385200009686,5223404.41580886,5223404.41580886
2.888740114520688,4849906.0143379355,4849906.0143379355
2.9963030634269643,4500110.854629202,4500110.854629202
3.107871145200423,4172764.015098877,4172764.015098877
